N,k,outlier_percent,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time
500,10,0.1,50,2.293026,0.0411,2.347544,0.001518,1.781567314,12.1894
500,10,0.2,100,1.710126,0.0514,1.794867,0.000188,1.454164603,7.797
500,20,0.1,50,1.73739,0.0656,1.804958,0.000332,1.396085515,6.8674
500,20,0.2,100,1.421619,0.0791,1.439944,0.000357,1.190512775,5.1429
500,50,0.1,50,1.353,0.1373,1.353229,0.000772,1.044301669,3.4549
500,50,0.2,100,1.125,0.1492,1.071111,0.000911,0.8614662725,2.7172
1000,10,0.1,100,2.152947,0.1506,2.429189,0.00027,1.803763113,122.1334
1000,10,0.2,200,1.720983,0.1982,1.976952,0.000267,1.47758163,51.6682
1000,20,0.1,100,1.779135,0.249,1.866454,0.000484,1.460662755,52.4605
1000,20,0.2,200,1.400784,0.298,1.456671,0.000511,1.195066574,26.9873
1000,50,0.1,100,1.368,0.4569,1.39347,0.001242,1.107916988,22.1193
1000,50,0.2,200,1.0863,0.7242,1.155639,0.001336,0.890149018,16.4312
2000,10,0.1,200,2.0145,0.6354,2.459514,0.000815,1.801004735,1096.0586
2000,10,0.2,400,1.632,0.8155,1.910563,0.000922,1.477757284,473.9481
2000,20,0.1,200,1.731,1.0305,1.950309,0.001827,1.458563794,493.5404
2000,20,0.2,400,1.396,1.2248,1.586505,0.002078,1.207354204,194.2452
2000,50,0.1,200,1.372,2.0759,1.48046,0.005439,1.107394906,140.128
2000,50,0.2,400,1.0544,2.8832,1.195763,0.004711,0.908636899,101.5067
5000,10,0.1,500,2.047209,4.3124,2.291372,0.001589,1.821315348,23263.1275
5000,10,0.2,1000,1.657443,5.8135,1.793847,0.001826,1.499017291,8075.7852
5000,20,0.1,500,1.696536,7.3616,1.842888,0.004375,1.498401844,192307.7601
5000,20,0.2,1000,1.369305,9.4376,1.475967,0.003595,1.232265063,188272.5529
5000,50,0.1,500,1.386,12.8055,1.476463,0.008816,1.157118612,186606.0143
5000,50,0.2,1000,1.0799,20.2415,1.147963,0.008715,0.938812787,185766.3631
10000,10,0.1,1000,2.086899,17.0375,2.375994,0.002228,1.842761,120345.4721
10000,10,0.2,2000,1.677009,21.6553,1.809641,0.002571,1.500199163,81679.8832
10000,20,0.1,1000,1.745952,28.2295,2.021746,0.004741,1.518918293,89351.8469
10000,20,0.2,2000,1.382541,37.7078,1.482378,0.006014,1.232119913,37545.6627
10000,50,0.1,1000,1.367,58.5536,1.522736,0.013837,1.181366098,23958.5637
10000,50,0.2,2000,1.0741,87.2888,1.179058,0.01432,0.942809407,13634.0469
20000,10,0.1,2000,2.013654,76.7774,2.333395,0.003416,1.792315,312487.5543
20000,10,0.2,4000,1.647786,97.7382,1.926569,0.003668,1.468204,215906.3375
20000,20,0.1,2000,1.728363,120.549,1.938769,0.006879,1.472006,338754.9028
20000,20,0.2,4000,1.367316,168.0604,1.553954,0.007683,1.221534,208445.7712
20000,50,0.1,2000,1.365,362.7796,1.52091,0.018169,1.110284,164932.1186
20000,50,0.2,4000,1.072,564.3467,1.20183,0.018965,0.950262412,139607.8656
