dataset,N,k,z,epsilon,t_star,t_star_over_z
adult,500,10,50,1.0,50.0,1.0
adult,500,10,50,0.5,163.0,3.26
adult,500,10,50,0.25,337.0,6.74
adult,500,10,50,0.1,442.0,8.84
adult,500,10,100,1.0,100.0,1.0
adult,500,10,100,0.5,243.0,2.43
adult,500,10,100,0.25,386.0,3.86
adult,500,10,100,0.1,463.0,4.63
adult,500,20,50,1.0,50.0,1.0
adult,500,20,50,0.5,172.0,3.44
adult,500,20,50,0.25,344.0,6.88
adult,500,20,50,0.1,438.0,8.76
adult,500,20,100,1.0,100.0,1.0
adult,500,20,100,0.5,253.0,2.53
adult,500,20,100,0.25,381.0,3.81
adult,500,20,100,0.1,454.0,4.54
adult,500,50,50,1.0,50.0,1.0
adult,500,50,50,0.5,195.0,3.9
adult,500,50,50,0.25,343.0,6.86
adult,500,50,50,0.1,422.0,8.44
adult,500,50,100,1.0,101.0,1.01
adult,500,50,100,0.5,257.0,2.57
adult,500,50,100,0.25,367.0,3.67
adult,500,50,100,0.1,429.0,4.29
adult,1000,10,100,1.0,100.0,1.0
adult,1000,10,100,0.5,322.0,3.22
adult,1000,10,100,0.25,664.0,6.64
adult,1000,10,100,0.1,894.0,8.94
adult,1000,10,200,1.0,200.0,1.0
adult,1000,10,200,0.5,498.0,2.49
adult,1000,10,200,0.25,762.0,3.81
adult,1000,10,200,0.1,919.0,4.595
adult,1000,20,100,1.0,101.0,1.01
adult,1000,20,100,0.5,320.0,3.2
adult,1000,20,100,0.25,662.0,6.62
adult,1000,20,100,0.1,888.0,8.88
adult,1000,20,200,1.0,200.0,1.0
adult,1000,20,200,0.5,503.0,2.515
adult,1000,20,200,0.25,761.0,3.805
adult,1000,20,200,0.1,912.0,4.56
adult,1000,50,100,1.0,100.0,1.0
adult,1000,50,100,0.5,359.0,3.59
adult,1000,50,100,0.25,668.0,6.68
adult,1000,50,100,0.1,870.0,8.7
adult,1000,50,200,1.0,200.0,1.0
adult,1000,50,200,0.5,531.0,2.655
adult,1000,50,200,0.25,761.0,3.805
adult,1000,50,200,0.1,891.0,4.455
adult,2000,10,200,1.0,200.0,1.0
adult,2000,10,200,0.5,643.0,3.215
adult,2000,10,200,0.25,1286.0,6.43
adult,2000,10,200,0.1,1753.0,8.765
adult,2000,10,400,1.0,400.0,1.0
adult,2000,10,400,0.5,1029.0,2.5725
adult,2000,10,400,0.25,1499.0,3.7475
adult,2000,10,400,0.1,1842.0,4.605
adult,2000,20,200,1.0,200.0,1.0
adult,2000,20,200,0.5,660.0,3.3
adult,2000,20,200,0.25,1290.0,6.45
adult,2000,20,200,0.1,1750.0,8.75
adult,2000,20,400,1.0,400.0,1.0
adult,2000,20,400,0.5,1040.0,2.6
adult,2000,20,400,0.25,1501.0,3.7525
adult,2000,20,400,0.1,1838.0,4.595
adult,2000,50,200,1.0,200.0,1.0
adult,2000,50,200,0.5,708.0,3.54
adult,2000,50,200,0.25,1299.0,6.495
adult,2000,50,200,0.1,1736.0,8.68
adult,2000,50,400,1.0,400.0,1.0
adult,2000,50,400,0.5,1067.0,2.6675
adult,2000,50,400,0.25,1485.0,3.7125
adult,2000,50,400,0.1,1820.0,4.55
adult,5000,10,500,1.0,500.0,1.0
adult,5000,10,500,0.5,1593.0,3.186
adult,5000,10,500,0.25,,
adult,5000,10,500,0.1,,
adult,5000,10,1000,1.0,1000.0,1.0
adult,5000,10,1000,0.5,,
adult,5000,10,1000,0.25,,
adult,5000,10,1000,0.1,,
adult,5000,20,500,1.0,500.0,1.0
adult,5000,20,500,0.5,1604.0,3.208
adult,5000,20,500,0.25,,
adult,5000,20,500,0.1,,
adult,5000,20,1000,1.0,1000.0,1.0
adult,5000,20,1000,0.5,,
adult,5000,20,1000,0.25,,
adult,5000,20,1000,0.1,,
adult,5000,50,500,1.0,501.0,1.002
adult,5000,50,500,0.5,1628.0,3.256
adult,5000,50,500,0.25,,
adult,5000,50,500,0.1,,
adult,5000,50,1000,1.0,1000.0,1.0
adult,5000,50,1000,0.5,,
adult,5000,50,1000,0.25,,
adult,5000,50,1000,0.1,,
diabetes,500,10,50,1.0,50.0,1.0
diabetes,500,10,50,0.5,234.0,4.68
diabetes,500,10,50,0.25,428.0,8.56
diabetes,500,10,50,0.1,478.0,9.56
diabetes,500,10,100,1.0,101.0,1.01
diabetes,500,10,100,0.5,326.0,3.26
diabetes,500,10,100,0.25,457.0,4.57
diabetes,500,10,100,0.1,481.0,4.81
diabetes,500,20,50,1.0,50.0,1.0
diabetes,500,20,50,0.5,244.0,4.88
diabetes,500,20,50,0.25,422.0,8.44
diabetes,500,20,50,0.1,468.0,9.36
diabetes,500,20,100,1.0,100.0,1.0
diabetes,500,20,100,0.5,341.0,3.41
diabetes,500,20,100,0.25,449.0,4.49
diabetes,500,20,100,0.1,471.0,4.71
diabetes,500,50,50,1.0,50.0,1.0
diabetes,500,50,50,0.5,279.0,5.58
diabetes,500,50,50,0.25,414.0,8.28
diabetes,500,50,50,0.1,441.0,8.82
diabetes,500,50,100,1.0,100.0,1.0
diabetes,500,50,100,0.5,359.0,3.59
diabetes,500,50,100,0.25,422.0,4.22
diabetes,500,50,100,0.1,446.0,4.46
diabetes,1000,10,100,1.0,100.0,1.0
diabetes,1000,10,100,0.5,457.0,4.57
diabetes,1000,10,100,0.25,832.0,8.32
diabetes,1000,10,100,0.1,953.0,9.53
diabetes,1000,10,200,1.0,200.0,1.0
diabetes,1000,10,200,0.5,664.0,3.32
diabetes,1000,10,200,0.25,899.0,4.495
diabetes,1000,10,200,0.1,967.0,4.835
diabetes,1000,20,100,1.0,100.0,1.0
diabetes,1000,20,100,0.5,471.0,4.71
diabetes,1000,20,100,0.25,827.0,8.27
diabetes,1000,20,100,0.1,948.0,9.48
diabetes,1000,20,200,1.0,200.0,1.0
diabetes,1000,20,200,0.5,671.0,3.355
diabetes,1000,20,200,0.25,889.0,4.445
diabetes,1000,20,200,0.1,957.0,4.785
diabetes,1000,50,100,1.0,100.0,1.0
diabetes,1000,50,100,0.5,497.0,4.97
diabetes,1000,50,100,0.25,816.0,8.16
diabetes,1000,50,100,0.1,919.0,9.19
diabetes,1000,50,200,1.0,200.0,1.0
diabetes,1000,50,200,0.5,680.0,3.4
diabetes,1000,50,200,0.25,868.0,4.34
diabetes,1000,50,200,0.1,934.0,4.67
diabetes,5000,10,500,1.0,500.0,1.0
diabetes,5000,10,500,0.5,,
diabetes,5000,10,500,0.25,,
diabetes,5000,10,500,0.1,,
diabetes,5000,10,1000,1.0,999.0,0.999
diabetes,5000,10,1000,0.5,,
diabetes,5000,10,1000,0.25,,
diabetes,5000,10,1000,0.1,,
diabetes,5000,20,500,1.0,500.0,1.0
diabetes,5000,20,500,0.5,,
diabetes,5000,20,500,0.25,,
diabetes,5000,20,500,0.1,,
diabetes,5000,20,1000,1.0,1002.0,1.002
diabetes,5000,20,1000,0.5,,
diabetes,5000,20,1000,0.25,,
diabetes,5000,20,1000,0.1,,
diabetes,5000,50,500,1.0,500.0,1.0
diabetes,5000,50,500,0.5,,
diabetes,5000,50,500,0.25,,
diabetes,5000,50,500,0.1,,
diabetes,5000,50,1000,1.0,1000.0,1.0
diabetes,5000,50,1000,0.5,,
diabetes,5000,50,1000,0.25,,
diabetes,5000,50,1000,0.1,,
covertype,500,10,50,1.0,50.0,1.0
covertype,500,10,50,0.5,258.0,5.16
covertype,500,10,50,0.25,450.0,9.0
covertype,500,10,50,0.1,487.0,9.74
covertype,500,10,100,1.0,100.0,1.0
covertype,500,10,100,0.5,356.0,3.56
covertype,500,10,100,0.25,471.0,4.71
covertype,500,10,100,0.1,489.0,4.89
covertype,500,20,50,1.0,50.0,1.0
covertype,500,20,50,0.5,263.0,5.26
covertype,500,20,50,0.25,444.0,8.88
covertype,500,20,50,0.1,478.0,9.56
covertype,500,20,100,1.0,100.0,1.0
covertype,500,20,100,0.5,363.0,3.63
covertype,500,20,100,0.25,463.0,4.63
covertype,500,20,100,0.1,479.0,4.79
covertype,500,50,50,1.0,50.0,1.0
covertype,500,50,50,0.5,306.0,6.12
covertype,500,50,50,0.25,430.0,8.6
covertype,500,50,50,0.1,449.0,8.98
covertype,500,50,100,1.0,100.0,1.0
covertype,500,50,100,0.5,360.0,3.6
covertype,500,50,100,0.25,440.0,4.4
covertype,500,50,100,0.1,449.0,4.49
covertype,1000,10,100,1.0,100.0,1.0
covertype,1000,10,100,0.5,497.0,4.97
covertype,1000,10,100,0.25,872.0,8.72
covertype,1000,10,100,0.1,983.0,9.83
covertype,1000,10,200,1.0,201.0,1.005
covertype,1000,10,200,0.5,674.0,3.37
