dataset,N,k,z,outlier_pct,oc_r,D_kz1,LB,cert_ratio
adult,500,10,50,0.1,2.1075148582458496,1.7024635778470691,0.8512317889235346,2.4758413462342697
adult,500,10,100,0.2,1.7086552381515503,1.208661888710873,0.6043309443554366,2.8273502360101004
adult,500,20,50,0.1,1.7912510633468628,1.6027939144299757,0.8013969572149878,2.2351607991772426
adult,500,20,100,0.2,1.3645881414413452,1.1328485775836097,0.5664242887918048,2.4091271657012467
adult,500,50,50,0.1,1.3303179740905762,1.2700704743548668,0.6350352371774334,2.0948726877007546
adult,500,50,100,0.2,1.0498783588409424,0.9811129154905729,0.49055645774528644,2.1401784489117355
adult,1000,10,100,0.1,2.116579055786133,1.454777274462311,0.7273886372311555,2.9098324436892584
adult,1000,10,200,0.2,1.6831718683242798,1.0132396232794374,0.5066198116397187,3.322356981809592
adult,1000,20,100,0.1,1.7294257879257202,1.4060723868290181,0.7030361934145091,2.4599384841429544
adult,1000,20,200,0.2,1.3958345651626587,0.9770177979277286,0.4885088989638643,2.8573370272747285
adult,1000,50,100,0.1,1.3786269426345823,1.2197323318386522,0.6098661659193261,2.2605401310571294
adult,1000,50,200,0.2,1.0622650384902954,0.8914284211356966,0.4457142105678483,2.383287347147738
adult,2000,10,200,0.1,2.042212724685669,1.1889819036106994,0.5944909518053497,3.435229280586826
adult,2000,10,400,0.2,1.656419277191162,0.8465240286487173,0.42326201432435867,3.913460743306384
adult,2000,20,200,0.1,1.6961653232574463,1.1646142687662662,0.5823071343831331,2.9128362389965883
adult,2000,20,400,0.2,1.3324377536773682,0.8314097936365492,0.4157048968182746,3.205249117524452
adult,2000,50,200,0.1,1.36298930644989,1.089761843213681,0.5448809216068405,2.501444356742144
adult,2000,50,400,0.2,1.0425019264221191,0.7907300897480302,0.3953650448740151,2.636808539192728
adult,5000,10,500,0.1,2.049192428588867,0.9902884759768462,0.4951442379884231,4.1385767446551185
adult,5000,10,1000,0.2,1.6597108840942385,0.6640354963093413,0.33201774815467067,4.998861938311386
adult,5000,20,500,0.1,1.7145898342132568,0.979061007565103,0.4895305037825515,3.5025188848596747
adult,5000,20,1000,0.2,1.379342794418335,0.6597824768229779,0.32989123841148893,4.181204693583936
adult,5000,50,500,0.1,1.3671164512634275,0.9571266734083833,0.47856333670419166,2.8567095437744867
adult,5000,50,1000,0.2,1.0621551275253296,0.6494046510724358,0.3247023255362179,3.2711657539602523
adult,10000,10,1000,0.1,2.0540692806243896,0.8413142272071784,0.4206571136035892,4.883001414211348
adult,10000,10,2000,0.2,1.6690576076507568,0.5651951047843601,0.28259755239218004,5.906129028798136
adult,10000,20,1000,0.1,1.7356728315353394,0.8381543933239823,0.41907719666199117,4.141654199656335
adult,10000,20,2000,0.2,1.3606152534484863,0.5636955314745843,0.28184776573729214,4.827482843049053
adult,10000,50,1000,0.1,1.3598947525024414,0.8279250958975646,0.4139625479487823,3.2850671135367904
adult,10000,50,2000,0.2,1.0631093978881836,0.5575739211519471,0.2787869605759736,3.8133397476402795
adult,20000,10,2000,0.1,2.0057618618011475,0.6924398682468623,0.34621993412343116,5.79331709157472
adult,20000,10,4000,0.2,1.6653740406036377,0.47513606965985167,0.23756803482992583,7.010093095209014
adult,20000,20,2000,0.1,1.706629991531372,0.6911841564636753,0.34559207823183763,4.9382786789067925
adult,20000,20,4000,0.2,1.360135555267334,0.47445712114965943,0.23722856057482972,5.733439312583538
adult,20000,50,2000,0.1,1.3467292785644531,0.6863725414350932,0.3431862707175466,3.9241933418509474
adult,20000,50,4000,0.2,1.0599356889724731,0.47277515648566,0.23638757824283,4.483889114865631
diabetes,500,10,50,0.1,2.11262965,1.834575712679452,0.917287856339726,2.30312615107549
diabetes,500,10,100,0.2,1.7931217,1.4042213714565785,0.7021106857282893,2.5539017372168615
diabetes,500,20,50,0.1,1.8851769,1.7157631349353268,0.8578815674676634,2.1974791993313914
diabetes,500,20,100,0.2,1.55165017,1.3435781820681938,0.6717890910340969,2.3097281434140546
diabetes,500,50,50,0.1,1.44995713,1.430230171849561,0.7151150859247805,2.027585711081634
diabetes,500,50,100,0.2,1.27105093,1.1618102075804573,0.5809051037902286,2.188052612564049
diabetes,1000,10,100,0.1,2.12438488,1.6408726213702436,0.8204363106851218,2.5893355185925278
diabetes,1000,10,200,0.2,1.81754208,1.265737758728402,0.632868879364201,2.8719093942902627
diabetes,1000,20,100,0.1,1.83484006,1.5876292370305234,0.7938146185152617,2.311421353554632
diabetes,1000,20,200,0.2,1.57212818,1.2329370822176222,0.6164685411088111,2.5502163941282254
diabetes,1000,50,100,0.1,1.5513835,1.4793102867472832,0.7396551433736416,2.0974416441207775
diabetes,1000,50,200,0.2,1.31272519,1.1567770637387538,0.5783885318693769,2.269625204630554
diabetes,5000,10,500,0.1,2.21726465,1.3170509978842915,0.6585254989421457,3.367014114961092
diabetes,5000,10,1000,0.2,1.87600541,0.9984101219796332,0.4992050609898166,3.757985558640539
diabetes,5000,20,500,0.1,1.91876972,1.305440718751336,0.652720359375668,2.939650483455607
diabetes,5000,20,1000,0.2,1.64492691,0.9945295689849413,0.49726478449247064,3.307949730803643
diabetes,5000,50,500,0.1,1.64068031,1.2737895272640969,0.6368947636320484,2.5760618609008787
