N,k,outlier_percent,z,radius,time
500,50,0.1,50,0.451131,0.1373
500,50,0.2,100,0.375041,0.1492
1000,50,0.1,100,0.455878,0.4569
1000,50,0.2,200,0.362111,0.7242
5000,50,0.1,500,0.462087,12.8055
5000,50,0.2,1000,0.359958,20.2415
10000,50,0.1,1000,0.455736,58.5536
10000,50,0.2,2000,0.358042,87.2888
20000,50,0.1,2000,0.454991,362.7796
20000,50,0.2,4000,0.357337,564.3467
2000,50,0.1,200,0.457297,2.0759
2000,50,0.2,400,0.351481,2.8832
2000,10,0.1,200,0.671498,0.6354
2000,10,0.2,400,0.543964,0.8155
2000,20,0.1,200,0.577098,1.0305
2000,20,0.2,400,0.465352,1.2248
