N,k,outlier_pct,z,ding_radius,ding_time_s,trials
500,10,0.1,50,2.18419337,0.0519,233
500,10,0.2,100,1.85864878,0.1061,463
500,20,0.1,50,1.89095783,0.1006,233
500,20,0.2,100,1.62766552,0.2073,463
500,50,0.1,50,1.48840296,0.2517,233
500,50,0.2,100,1.30723071,0.5121,463
1000,10,0.1,100,2.24046493,0.1688,463
1000,10,0.2,200,1.86677825,0.3507,924
1000,20,0.1,100,1.91652894,0.3289,463
1000,20,0.2,200,1.66010809,0.673,924
1000,50,0.1,100,1.56728876,0.7878,463
1000,50,0.2,200,1.3820132,1.6355,924
5000,10,0.1,500,2.30146241,3.3146,2305
5000,10,0.2,1000,2.03953362,6.9215,4608
5000,20,0.1,500,2.0816412,6.2684,2305
5000,20,0.2,1000,1.77737904,13.2317,4608
5000,50,0.1,500,1.74064004,15.0167,2305
5000,50,0.2,1000,1.50997078,32.0451,4608
10000,10,0.1,1000,2.4568398,13.0378,4608
10000,10,0.2,2000,2.07470369,27.0988,9213
10000,20,0.1,1000,2.14780354,25.1089,4608
10000,20,0.2,2000,1.84518528,52.7118,9213
10000,50,0.1,1000,1.81209183,60.7814,4608
10000,50,0.2,2000,1.56517923,126.1375,9213
15000,10,0.1,1500,2.46362185,29.2599,6911
15000,10,0.2,3000,2.07850122,61.4835,13818
15000,20,0.1,1500,2.20496273,55.7631,6911
15000,20,0.2,3000,1.88388038,114.7254,13818
15000,50,0.1,1500,1.87948883,133.6383,6911
