N,k,Outlier_Percent,z,R_Standard,Time_Standard,R_Deterministic,Time_Deterministic,R_Randomized,Time_Randomized,R_DRG,Time_DRG,DRG_Flags
500,10,0.1,50,3.113489,0.199851,2.347544,0.000152,2.284814,0.000966,2.347544,0.000206,5
500,10,0.2,100,2.925808,0.000098,1.794867,0.000143,1.897691,0.000878,1.794867,0.000166,6
500,20,0.1,50,2.445430,0.000177,1.804958,0.000278,1.837071,0.001680,1.804958,0.000325,11
500,20,0.2,100,2.299273,0.000177,1.439944,0.000283,1.483359,0.003325,1.439944,0.000684,16
500,50,0.1,50,1.420337,0.000767,1.353229,0.001571,1.379170,0.008051,1.353229,0.001700,40
500,50,0.2,100,1.319332,0.000463,1.071111,0.000769,1.135504,0.006054,1.071111,0.001305,46
1000,10,0.1,100,3.238390,0.000190,2.429189,0.000272,2.415133,0.001579,2.429189,0.000304,5
1000,10,0.2,200,3.011035,0.000168,1.976952,0.000353,2.030704,0.002082,1.976952,0.000409,6
1000,20,0.1,100,2.497824,0.000852,1.866454,0.001035,1.902880,0.003579,1.866454,0.000679,12
1000,20,0.2,200,2.322045,0.000347,1.456671,0.000624,1.512118,0.003555,1.456671,0.000664,16
1000,50,0.1,100,1.697067,0.000786,1.393470,0.001440,1.454022,0.008179,1.393470,0.001478,41
1000,50,0.2,200,1.580697,0.000712,1.155639,0.001288,1.173438,0.007679,1.155639,0.001379,46
5000,10,0.1,500,4.603306,0.000550,2.459514,0.000794,2.388668,0.004914,2.459514,0.001075,3
5000,10,0.2,1000,4.314392,0.000570,1.910563,0.000896,1.936171,0.004975,1.910563,0.001833,3
5000,20,0.1,500,2.860669,0.025290,1.950309,0.001831,1.953646,0.013268,1.950309,0.001820,10
5000,20,0.2,1000,2.681014,0.000973,1.586505,0.001781,1.563115,0.009974,1.586505,0.002022,13
5000,50,0.1,500,2.194468,0.002358,1.480460,0.004855,1.521294,0.022933,1.480460,0.004697,39
5000,50,0.2,1000,2.071277,0.002356,1.195763,0.004378,1.245412,0.023915,1.195763,0.004527,43
10000,10,0.1,1000,3.532571,0.001023,2.291372,0.001621,2.318723,0.008629,2.291372,0.001596,4
10000,10,0.2,2000,3.119671,0.000976,1.793847,0.001738,1.982015,0.010198,1.793847,0.001841,5
10000,20,0.1,1000,3.247583,0.001847,1.842888,0.003479,1.988034,0.018786,1.842888,0.003834,11
10000,20,0.2,2000,2.932245,0.001850,1.475967,0.003450,1.591819,0.019214,1.475967,0.003590,15
10000,50,0.1,1000,2.483464,0.004497,1.476463,0.008463,1.593086,0.044479,1.476463,0.008835,40
10000,50,0.2,2000,2.317487,0.004512,1.147963,0.007777,1.231956,0.047744,1.147963,0.008307,45
15000,10,0.1,1500,3.615555,0.001537,2.375994,0.002250,2.457630,0.013880,2.375994,0.002309,3
15000,10,0.2,3000,3.164339,0.001420,1.809641,0.002538,1.892908,0.014208,1.809641,0.002650,6
15000,20,0.1,1500,3.279368,0.002688,2.021746,0.004781,1.982706,0.027193,2.021746,0.004742,11
15000,20,0.2,3000,2.981122,0.002837,1.482378,0.005578,1.648009,0.028313,1.482378,0.005711,16
15000,50,0.1,1500,2.464515,0.006682,1.522736,0.013583,1.582844,0.068723,1.522736,0.013867,39
15000,50,0.2,3000,2.296019,0.006829,1.179058,0.014783,1.289816,0.069966,1.179058,0.013993,46
20000,10,0.1,2000,3.810891,0.001920,2.333395,0.003319,2.316733,0.018220,2.333395,0.003630,4
20000,10,0.2,4000,3.512093,0.002033,1.926569,0.003599,1.980277,0.019870,1.926569,0.003746,5
20000,20,0.1,2000,3.453686,0.003818,1.938769,0.007155,1.912202,0.036217,1.938769,0.006970,13
20000,20,0.2,4000,3.225080,0.003678,1.553954,0.007386,1.548342,0.036114,1.553954,0.007544,15
20000,50,0.1,2000,2.714911,0.008815,1.520910,0.017809,1.539789,0.090931,1.520910,0.018074,42
20000,50,0.2,4000,2.536514,0.009000,1.201830,0.019177,1.274464,0.091327,1.201830,0.019342,45
