exp,N,d,k,z,zr,z_over_k,opt_O,knee_O,opt_over_z,knee_over_z,sep
syn_vary_zk,2000,6,5,100,0.05,20.0,300,150,3.0,1.5,
syn_vary_zk,2000,6,5,200,0.1,40.0,500,500,2.5,2.5,
syn_vary_zk,2000,6,5,400,0.2,80.0,500,500,1.25,1.25,
syn_vary_zk,2000,6,5,600,0.3,120.0,750,750,1.25,1.25,
syn_vary_zk,2000,6,10,100,0.05,10.0,150,150,1.5,1.5,
syn_vary_zk,2000,6,10,200,0.1,20.0,200,200,1.0,1.0,
syn_vary_zk,2000,6,10,400,0.2,40.0,750,750,1.875,1.875,
syn_vary_zk,2000,6,10,600,0.3,60.0,750,750,1.25,1.25,
syn_vary_zk,2000,6,20,100,0.05,5.0,300,300,3.0,3.0,
syn_vary_zk,2000,6,20,200,0.1,10.0,200,200,1.0,1.0,
syn_vary_zk,2000,6,20,400,0.2,20.0,500,500,1.25,1.25,
syn_vary_zk,2000,6,20,600,0.3,30.0,1000,750,1.6666666666666667,1.25,
syn_vary_zk,2000,6,50,100,0.05,2.0,100,100,1.0,1.0,
syn_vary_zk,2000,6,50,200,0.1,4.0,200,200,1.0,1.0,
syn_vary_zk,2000,6,50,400,0.2,8.0,500,500,1.25,1.25,
syn_vary_zk,2000,6,50,600,0.3,12.0,1500,750,2.5,1.25,
syn_vary_d,2000,2,20,200,,,150,150,0.75,0.75,
syn_vary_d,2000,4,20,200,,,200,200,1.0,1.0,
syn_vary_d,2000,6,20,200,,,200,200,1.0,1.0,
syn_vary_d,2000,8,20,200,,,200,200,1.0,1.0,
syn_vary_d,2000,12,20,200,,,500,500,2.5,2.5,
syn_vary_d,2000,16,20,200,,,200,200,1.0,1.0,
syn_vary_d,2000,20,20,200,,,500,500,2.5,2.5,
syn_vary_sep,2000,6,20,200,,,500,300,2.5,1.5,0.5
syn_vary_sep,2000,6,20,200,,,300,300,1.5,1.5,1.0
syn_vary_sep,2000,6,20,200,,,200,200,1.0,1.0,2.0
syn_vary_sep,2000,6,20,200,,,200,200,1.0,1.0,3.0
syn_vary_sep,2000,6,20,200,,,200,200,1.0,1.0,5.0
syn_vary_sep,2000,6,20,200,,,300,300,1.5,1.5,8.0
