exp,dataset,N,k,z,outlier_pct,O,pool,radius,time_s,vs_ref_pct,op,start,r_single,r_multi3,gain_pct,alpha
O_ablation,adult,500,10,50,0.1,1.0,11.0,2.843257,0.0019,36.377,,,,,,
O_ablation,adult,500,10,50,0.1,5.0,15.0,2.584441,0.0029,23.962,,,,,,
O_ablation,adult,500,10,50,0.1,10.0,20.0,2.446529,0.0042,17.347,,,,,,
O_ablation,adult,500,10,50,0.1,20.0,30.0,2.266017,0.0072,8.689,,,,,,
O_ablation,adult,500,10,50,0.1,30.0,40.0,2.266017,0.0101,8.689,,,,,,
O_ablation,adult,500,10,50,0.1,50.0,60.0,2.084858,0.0185,0.0,,,,,,
O_ablation,adult,500,10,50,0.1,75.0,85.0,2.082852,0.023,-0.096,,,,,,
O_ablation,adult,500,10,50,0.1,100.0,110.0,2.082852,0.0299,-0.096,,,,,,
O_ablation,adult,500,10,50,0.1,150.0,160.0,1.925523,0.0455,-7.642,,,,,,
O_ablation,adult,500,10,100,0.2,1.0,11.0,2.476891,0.0018,47.238,,,,,,
O_ablation,adult,500,10,100,0.2,5.0,15.0,2.230916,0.0028,32.616,,,,,,
O_ablation,adult,500,10,100,0.2,10.0,20.0,2.07548,0.0043,23.376,,,,,,
O_ablation,adult,500,10,100,0.2,20.0,30.0,1.951364,0.0072,15.998,,,,,,
O_ablation,adult,500,10,100,0.2,30.0,40.0,1.921499,0.0111,14.223,,,,,,
O_ablation,adult,500,10,100,0.2,50.0,60.0,1.816395,0.0175,7.975,,,,,,
O_ablation,adult,500,10,100,0.2,75.0,85.0,1.682707,0.0225,0.028,,,,,,
O_ablation,adult,500,10,100,0.2,100.0,110.0,1.682241,0.0302,0.0,,,,,,
O_ablation,adult,500,10,100,0.2,150.0,160.0,1.620875,0.0421,-3.648,,,,,,
O_ablation,adult,500,10,100,0.2,200.0,210.0,1.625851,0.0525,-3.352,,,,,,
O_ablation,adult,500,10,100,0.2,300.0,310.0,1.627514,0.0794,-3.253,,,,,,
O_ablation,adult,500,20,50,0.1,1.0,21.0,2.253472,0.0061,27.585,,,,,,
O_ablation,adult,500,20,50,0.1,5.0,25.0,2.050884,0.0083,16.115,,,,,,
O_ablation,adult,500,20,50,0.1,10.0,30.0,2.016076,0.0115,14.144,,,,,,
O_ablation,adult,500,20,50,0.1,20.0,40.0,1.927378,0.0191,9.122,,,,,,
O_ablation,adult,500,20,50,0.1,30.0,50.0,1.870235,0.0254,5.887,,,,,,
O_ablation,adult,500,20,50,0.1,50.0,70.0,1.766259,0.0401,0.0,,,,,,
O_ablation,adult,500,20,50,0.1,75.0,95.0,1.686704,0.0504,-4.504,,,,,,
O_ablation,adult,500,20,50,0.1,100.0,120.0,1.693341,0.0607,-4.128,,,,,,
O_ablation,adult,500,20,50,0.1,150.0,170.0,1.580159,0.0874,-10.536,,,,,,
O_ablation,adult,500,20,100,0.2,1.0,21.0,2.001647,0.006,48.19,,,,,,
O_ablation,adult,500,20,100,0.2,5.0,25.0,1.873874,0.0085,38.731,,,,,,
O_ablation,adult,500,20,100,0.2,10.0,30.0,1.813714,0.0114,34.277,,,,,,
O_ablation,adult,500,20,100,0.2,20.0,40.0,1.689539,0.017,25.084,,,,,,
O_ablation,adult,500,20,100,0.2,30.0,50.0,1.539369,0.0242,13.966,,,,,,
O_ablation,adult,500,20,100,0.2,50.0,70.0,1.530715,0.036,13.325,,,,,,
O_ablation,adult,500,20,100,0.2,75.0,95.0,1.472332,0.0482,9.003,,,,,,
O_ablation,adult,500,20,100,0.2,100.0,120.0,1.350727,0.068,0.0,,,,,,
O_ablation,adult,500,20,100,0.2,150.0,170.0,1.314688,0.0888,-2.668,,,,,,
O_ablation,adult,500,20,100,0.2,200.0,220.0,1.315304,0.1054,-2.623,,,,,,
O_ablation,adult,500,20,100,0.2,300.0,320.0,1.29796,0.1559,-3.907,,,,,,
O_ablation,adult,1000,10,100,0.1,1.0,11.0,2.813718,0.0033,37.646,,,,,,
O_ablation,adult,1000,10,100,0.1,5.0,15.0,2.655723,0.0054,29.917,,,,,,
O_ablation,adult,1000,10,100,0.1,10.0,20.0,2.446437,0.008,19.679,,,,,,
O_ablation,adult,1000,10,100,0.1,20.0,30.0,2.334526,0.0133,14.204,,,,,,
O_ablation,adult,1000,10,100,0.1,30.0,40.0,2.230268,0.0219,9.104,,,,,,
O_ablation,adult,1000,10,100,0.1,50.0,60.0,2.185072,0.0285,6.893,,,,,,
O_ablation,adult,1000,10,100,0.1,75.0,85.0,2.050499,0.0376,0.31,,,,,,
O_ablation,adult,1000,10,100,0.1,100.0,110.0,2.04417,0.0643,0.0,,,,,,
O_ablation,adult,1000,10,100,0.1,150.0,160.0,1.987711,0.0701,-2.762,,,,,,
O_ablation,adult,1000,10,100,0.1,200.0,210.0,2.024059,0.0925,-0.984,,,,,,
O_ablation,adult,1000,10,100,0.1,300.0,310.0,1.932037,0.1528,-5.485,,,,,,
O_ablation,adult,1000,10,200,0.2,1.0,11.0,2.458162,0.0033,49.427,,,,,,
O_ablation,adult,1000,10,200,0.2,5.0,15.0,2.266832,0.0056,37.797,,,,,,
O_ablation,adult,1000,10,200,0.2,10.0,20.0,2.095839,0.0081,27.402,,,,,,
O_ablation,adult,1000,10,200,0.2,20.0,30.0,2.002285,0.0138,21.715,,,,,,
O_ablation,adult,1000,10,200,0.2,30.0,40.0,1.93252,0.0178,17.475,,,,,,
O_ablation,adult,1000,10,200,0.2,50.0,60.0,1.854127,0.0347,12.709,,,,,,
O_ablation,adult,1000,10,200,0.2,75.0,85.0,1.725085,0.044,4.865,,,,,,
O_ablation,adult,1000,10,200,0.2,100.0,110.0,1.770316,0.0535,7.614,,,,,,
O_ablation,adult,1000,10,200,0.2,150.0,160.0,1.603135,0.0853,-2.548,,,,,,
O_ablation,adult,1000,10,200,0.2,200.0,210.0,1.645054,0.0996,0.0,,,,,,
O_ablation,adult,1000,10,200,0.2,300.0,310.0,1.638532,0.1381,-0.396,,,,,,
O_ablation,adult,1000,10,200,0.2,500.0,510.0,1.611084,0.2433,-2.065,,,,,,
O_ablation,adult,1000,20,100,0.1,1.0,21.0,2.307477,0.0115,34.517,,,,,,
O_ablation,adult,1000,20,100,0.1,5.0,25.0,2.143127,0.0158,24.936,,,,,,
O_ablation,adult,1000,20,100,0.1,10.0,30.0,2.096634,0.0211,22.226,,,,,,
O_ablation,adult,1000,20,100,0.1,20.0,40.0,1.981099,0.0327,15.49,,,,,,
O_ablation,adult,1000,20,100,0.1,30.0,50.0,1.935252,0.044,12.818,,,,,,
O_ablation,adult,1000,20,100,0.1,50.0,70.0,1.79262,0.0708,4.503,,,,,,
O_ablation,adult,1000,20,100,0.1,75.0,95.0,1.734035,0.0945,1.088,,,,,,
O_ablation,adult,1000,20,100,0.1,100.0,120.0,1.715379,0.1071,0.0,,,,,,
O_ablation,adult,1000,20,100,0.1,150.0,170.0,1.670027,0.1602,-2.644,,,,,,
O_ablation,adult,1000,20,100,0.1,200.0,220.0,1.660592,0.2318,-3.194,,,,,,
O_ablation,adult,1000,20,100,0.1,300.0,320.0,1.652089,0.2991,-3.69,,,,,,
O_ablation,adult,1000,20,200,0.2,1.0,21.0,2.01819,0.0112,45.743,,,,,,
O_ablation,adult,1000,20,200,0.2,5.0,25.0,1.927045,0.016,39.161,,,,,,
O_ablation,adult,1000,20,200,0.2,10.0,30.0,1.902543,0.0215,37.392,,,,,,
O_ablation,adult,1000,20,200,0.2,20.0,40.0,1.799639,0.0314,29.961,,,,,,
O_ablation,adult,1000,20,200,0.2,30.0,50.0,1.731862,0.0426,25.066,,,,,,
O_ablation,adult,1000,20,200,0.2,50.0,70.0,1.544617,0.0709,11.544,,,,,,
O_ablation,adult,1000,20,200,0.2,75.0,95.0,1.469787,0.0912,6.14,,,,,,
O_ablation,adult,1000,20,200,0.2,100.0,120.0,1.426762,0.1102,3.033,,,,,,
O_ablation,adult,1000,20,200,0.2,150.0,170.0,1.389492,0.1978,0.342,,,,,,
O_ablation,adult,1000,20,200,0.2,200.0,220.0,1.384758,0.2034,0.0,,,,,,
O_ablation,adult,1000,20,200,0.2,300.0,320.0,1.356941,0.2885,-2.009,,,,,,
O_ablation,adult,1000,20,200,0.2,500.0,520.0,1.367169,0.4762,-1.27,,,,,,
O_ablation,adult,2000,10,200,0.1,1.0,11.0,2.926226,0.0063,45.664,,,,,,
O_ablation,adult,2000,10,200,0.1,5.0,15.0,2.770803,0.0106,37.927,,,,,,
O_ablation,adult,2000,10,200,0.1,10.0,20.0,2.677796,0.0168,33.298,,,,,,
O_ablation,adult,2000,10,200,0.1,20.0,30.0,2.411509,0.0256,20.042,,,,,,
O_ablation,adult,2000,10,200,0.1,30.0,40.0,2.375731,0.0353,18.261,,,,,,
O_ablation,adult,2000,10,200,0.1,50.0,60.0,2.211688,0.0564,10.095,,,,,,
O_ablation,adult,2000,10,200,0.1,75.0,85.0,2.168605,0.0973,7.951,,,,,,
O_ablation,adult,2000,10,200,0.1,100.0,110.0,2.036171,0.1415,1.358,,,,,,
O_ablation,adult,2000,10,200,0.1,150.0,160.0,1.973939,0.1498,-1.74,,,,,,
O_ablation,adult,2000,10,200,0.1,200.0,210.0,2.008885,0.2079,0.0,,,,,,
O_ablation,adult,2000,10,200,0.1,300.0,310.0,1.980765,0.3121,-1.4,,,,,,
O_ablation,adult,2000,10,200,0.1,500.0,510.0,1.974806,0.4761,-1.696,,,,,,
O_ablation,adult,2000,10,400,0.2,1.0,11.0,2.495091,0.0064,55.195,,,,,,
O_ablation,adult,2000,10,400,0.2,5.0,15.0,2.402106,0.0106,49.412,,,,,,
O_ablation,adult,2000,10,400,0.2,10.0,20.0,2.348567,0.0155,46.081,,,,,,
O_ablation,adult,2000,10,400,0.2,20.0,30.0,2.078845,0.0257,29.305,,,,,,
O_ablation,adult,2000,10,400,0.2,30.0,40.0,2.035494,0.0375,26.608,,,,,,
O_ablation,adult,2000,10,400,0.2,50.0,60.0,1.864313,0.0693,15.961,,,,,,
O_ablation,adult,2000,10,400,0.2,75.0,85.0,1.858735,0.0978,15.614,,,,,,
O_ablation,adult,2000,10,400,0.2,100.0,110.0,1.77176,0.1124,10.204,,,,,,
O_ablation,adult,2000,10,400,0.2,150.0,160.0,1.625418,0.143,1.101,,,,,,
O_ablation,adult,2000,10,400,0.2,200.0,210.0,1.621317,0.1964,0.846,,,,,,
O_ablation,adult,2000,10,400,0.2,300.0,310.0,1.618837,0.291,0.692,,,,,,
