N,k,p,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time,SimplifiedDRG_radius,SimplifiedDRG_time,OverclusterDRG_radius,OverclusterDRG_time
500,10,0.1,50,2.293026,0.0411,2.347544,0.001518,1.781567314,12.1894,2.476890802383423,0.002009868621826172,2.1075148582458496,0.011042118072509766
500,10,0.2,100,1.710126,0.0514,1.794867,0.000188,1.454164603,7.797,1.8609135150909424,0.0003809928894042969,1.7086552381515503,0.02260303497314453
500,20,0.1,50,1.73739,0.0656,1.804958,0.000332,1.396085515,6.8674,1.901821494102478,0.0006699562072753906,1.7912510633468628,0.024634838104248047
500,20,0.2,100,1.421619,0.0791,1.439944,0.000357,1.190512775,5.1429,1.5614922046661377,0.0006539821624755859,1.3645881414413452,0.0447080135345459
500,50,0.1,50,1.353,0.1373,1.353229,0.000772,1.044301669,3.4549,1.3518389463424683,0.0015408992767333984,1.3303179740905762,0.0741889476776123
500,50,0.2,100,1.125,0.1492,1.071111,0.000911,0.8614662725,2.7172,1.1077097654342651,0.0014767646789550781,1.0498783588409424,0.12521791458129883
1000,10,0.1,100,2.152947,0.1506,2.429189,0.00027,1.803763113,122.1334,2.2921407222747803,0.0006411075592041016,2.116579055786133,0.03761172294616699
1000,10,0.2,200,1.720983,0.1982,1.976952,0.000267,1.47758163,51.6682,1.9651131629943848,0.0006062984466552734,1.6831718683242798,0.0724189281463623
1000,20,0.1,100,1.779135,0.249,1.866454,0.000484,1.460662755,52.4605,1.9102611541748047,0.0011737346649169922,1.7294257879257202,0.08056998252868652
1000,20,0.2,200,1.400784,0.298,1.456671,0.000511,1.195066574,26.9873,1.5332245826721191,0.0011780261993408203,1.3958345651626587,0.15299201011657715
1000,50,0.1,100,1.368,0.4569,1.39347,0.001242,1.107916988,22.1193,1.3294273614883423,0.0030829906463623047,1.3786269426345825,0.23681426048278809
1000,50,0.2,200,1.0863,0.7242,1.155639,0.001336,0.890149018,16.4312,1.152164101600647,0.002964019775390625,1.0622650384902954,0.4147951602935791
2000,10,0.1,200,2.0145,0.6354,2.459514,0.000815,1.801004735,1096.0586,2.4076366424560547,0.001230001449584961,2.042212724685669,0.14057397842407227
2000,10,0.2,400,1.632,0.8155,1.910563,0.000922,1.477757284,473.9481,1.7989240884780884,0.0012142658233642578,1.656419277191162,0.2738959789276123
2000,20,0.1,200,1.731,1.0305,1.950309,0.001827,1.458563794,493.5404,1.8700029850006104,0.0023660659790039062,1.6961653232574463,0.29429197311401367
2000,20,0.2,400,1.396,1.2248,1.586505,0.002078,1.207354204,194.2452,1.535022258758545,0.002398967742919922,1.3324377536773682,0.571314811706543
2000,50,0.1,200,1.372,2.0759,1.48046,0.005439,1.107394906,140.128,1.4751161336898804,0.00581812858581543,1.3629893064498901,0.8033573627471924
2000,50,0.2,400,1.0544,2.8832,1.195763,0.004711,0.908636899,101.5067,1.1339404582977295,0.005903005599975586,1.0425019264221191,1.5056729316711426
5000,10,0.1,500,2.047209,4.3124,2.291372,0.001589,1.821315348,23263.1275,2.2464897632598877,0.003132343292236328,2.049192428588867,0.8743212223052979
5000,10,0.2,1000,1.657443,5.8135,1.793847,0.001826,1.499017291,8075.7852,1.9701908826828003,0.003061056137084961,1.6597108840942383,1.7400398254394531
5000,20,0.1,500,1.696536,7.3616,1.842888,0.004375,1.498401844,192307.7601,1.9380102157592773,0.006281852722167969,1.7145898342132568,1.8291277885437012
5000,20,0.2,1000,1.369305,9.4376,1.475967,0.003595,1.232265063,188272.5529,1.510536789894104,0.006162881851196289,1.379342794418335,3.6210100650787354
5000,50,0.1,500,1.386,12.8055,1.476463,0.008816,1.157118612,186606.0143,1.5016247034072876,0.016130685806274414,1.3671164512634277,4.813239812850952
5000,50,0.2,1000,1.0799,20.2415,1.147963,0.008715,0.938812787,185766.3631,1.218000888824463,0.016418933868408203,1.0621551275253296,9.400820970535278
10000,10,0.1,1000,2.086899,17.0375,2.375994,0.002228,1.842761,120345.4721,2.414816379547119,0.006536960601806641,2.0540692806243896,3.599609136581421
10000,10,0.2,2000,1.677009,21.6553,1.809641,0.002571,1.500199163,81679.8832,1.938413143157959,0.006613016128540039,1.6690576076507568,7.191810607910156
10000,20,0.1,1000,1.745952,28.2295,2.021746,0.004741,1.518918293,89351.8469,1.9522935152053833,0.013778924942016602,1.7356728315353394,7.5460851192474365
10000,20,0.2,2000,1.382541,37.7078,1.482378,0.006014,1.232119913,37545.6627,1.5919196605682373,0.013731956481933594,1.3606152534484863,14.922019958496094
10000,50,0.1,1000,1.367,58.5536,1.522736,0.013837,1.181366098,23958.5637,1.58092200756073,0.03381490707397461,1.3598947525024414,19.39849328994751
10000,50,0.2,2000,1.0741,87.2888,1.179058,0.01432,0.942809407,13634.0469,1.2261732816696167,0.03407001495361328,1.0631093978881836,38.4520788192749
20000,10,0.1,2000,2.013654,76.7774,2.333395,0.003416,1.792315,312487.5543,2.459397554397583,0.014406204223632812,2.0057618618011475,14.929970979690552
20000,10,0.2,4000,1.647786,97.7382,1.926569,0.003668,1.468204,215906.3375,1.779657006263733,0.01461029052734375,1.6653740406036377,29.75226879119873
20000,20,0.1,2000,1.728363,120.549,1.938769,0.006879,1.472006,338754.9028,2.0052242279052734,0.028941631317138672,1.706629991531372,30.929296016693115
20000,20,0.2,4000,1.367316,168.0604,1.553954,0.007683,1.221534,208445.7712,1.5649659633636475,0.02881002426147461,1.360135555267334,61.82617402076721
20000,50,0.1,2000,1.365,362.7796,1.52091,0.018169,1.110284,164932.1186,1.5106849670410156,0.07408523559570312,1.3467292785644531,79.46609115600586
20000,50,0.2,4000,1.072,564.3467,1.20183,0.018965,0.950262412,139607.8656,1.1953574419021606,0.0732722282409668,1.0599356889724731,158.10770893096924
