N,k,p,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time,SimplifiedDRG_radius,SimplifiedDRG_time,OverclusterDRG_radius,OverclusterDRG_time,DingRKC_radius,DingRKC_time
500,10,0.1,50,2.293026,0.0411,2.347544,0.001518,1.781567314,12.1894,2.476890802383423,0.0023360252380371094,2.1075148582458496,0.01089620590209961,2.447218656539917,0.0016181468963623047
500,10,0.2,100,1.710126,0.0514,1.794867,0.000188,1.454164603,7.797,1.8609135150909424,0.0005319118499755859,1.7086552381515503,0.020660877227783203,1.8568300008773804,0.0003750324249267578
500,20,0.1,50,1.73739,0.0656,1.804958,0.000332,1.396085515,6.8674,1.901821494102478,0.00061798095703125,1.7912510633468628,0.02362513542175293,1.8275389671325684,0.0009028911590576172
500,20,0.2,100,1.421619,0.0791,1.439944,0.000357,1.190512775,5.1429,1.5614922046661377,0.0007202625274658203,1.3645881414413452,0.04313397407531738,1.606035828590393,0.0007276535034179688
500,50,0.1,50,1.353,0.1373,1.353229,0.000772,1.044301669,3.4549,1.3518389463424683,0.0014410018920898438,1.3303179740905762,0.07344293594360352,1.3340972661972046,0.001645803451538086
500,50,0.2,100,1.125,0.1492,1.071111,0.000911,0.8614662725,2.7172,1.1077097654342651,0.0014829635620117188,1.0498783588409424,0.12168383598327637,1.145566463470459,0.0016641616821289062
1000,10,0.1,100,2.152947,0.1506,2.429189,0.00027,1.803763113,122.1334,2.2921407222747803,0.0006120204925537109,2.116579055786133,0.03810477256774902,2.5446677207946777,0.0006501674652099609
1000,10,0.2,200,1.720983,0.1982,1.976952,0.000267,1.47758163,51.6682,1.9651131629943848,0.000614166259765625,1.6831718683242798,0.07317614555358887,1.9493876695632935,0.0006220340728759766
1000,20,0.1,100,1.779135,0.249,1.866454,0.000484,1.460662755,52.4605,1.9102611541748047,0.0012507438659667969,1.7294257879257202,0.08014106750488281,1.9040131568908691,0.0013759136199951172
1000,20,0.2,200,1.400784,0.298,1.456671,0.000511,1.195066574,26.9873,1.5332245826721191,0.0011749267578125,1.3958345651626587,0.15572667121887207,1.5116618871688843,0.0012919902801513672
1000,50,0.1,100,1.368,0.4569,1.39347,0.001242,1.107916988,22.1193,1.3294273614883423,0.002859830856323242,1.3786269426345825,0.23459315299987793,1.3877094984054565,0.0033960342407226562
1000,50,0.2,200,1.0863,0.7242,1.155639,0.001336,0.890149018,16.4312,1.152164101600647,0.0032510757446289062,1.0622650384902954,0.4188222885131836,1.2444859743118286,0.0031080245971679688
2000,10,0.1,200,2.0145,0.6354,2.459514,0.000815,1.801004735,1096.0586,2.4076366424560547,0.0012259483337402344,2.042212724685669,0.1452770233154297,2.542142152786255,0.001195669174194336
2000,10,0.2,400,1.632,0.8155,1.910563,0.000922,1.477757284,473.9481,1.7989240884780884,0.0012359619140625,1.656419277191162,0.275360107421875,1.8882675170898438,0.0011911392211914062
2000,20,0.1,200,1.731,1.0305,1.950309,0.001827,1.458563794,493.5404,1.8700029850006104,0.0024080276489257812,1.6961653232574463,0.2949199676513672,1.8757352828979492,0.002440929412841797
2000,20,0.2,400,1.396,1.2248,1.586505,0.002078,1.207354204,194.2452,1.535022258758545,0.0023450851440429688,1.3324377536773682,0.5748381614685059,1.517513632774353,0.0024611949920654297
2000,50,0.1,200,1.372,2.0759,1.48046,0.005439,1.107394906,140.128,1.4751161336898804,0.005877971649169922,1.3629893064498901,0.8021998405456543,1.511527419090271,0.0060961246490478516
2000,50,0.2,400,1.0544,2.8832,1.195763,0.004711,0.908636899,101.5067,1.1339404582977295,0.0059337615966796875,1.0425019264221191,1.5056109428405762,1.2735499143600464,0.006000041961669922
5000,10,0.1,500,2.047209,4.3124,2.291372,0.001589,1.821315348,23263.1275,2.2464897632598877,0.003114938735961914,2.049192428588867,0.8732800483703613,2.3326995372772217,0.0030579566955566406
5000,10,0.2,1000,1.657443,5.8135,1.793847,0.001826,1.499017291,8075.7852,1.9701908826828003,0.0030689239501953125,1.6597108840942383,1.7413790225982666,1.8355181217193604,0.002969026565551758
5000,20,0.1,500,1.696536,7.3616,1.842888,0.004375,1.498401844,192307.7601,1.9380102157592773,0.006219148635864258,1.7145898342132568,1.840379238128662,1.966417670249939,0.006331920623779297
5000,20,0.2,1000,1.369305,9.4376,1.475967,0.003595,1.232265063,188272.5529,1.510536789894104,0.006172895431518555,1.379342794418335,3.656501054763794,1.5446854829788208,0.0062940120697021484
5000,50,0.1,500,1.386,12.8055,1.476463,0.008816,1.157118612,186606.0143,1.5016247034072876,0.0161130428314209,1.3671164512634277,4.798437833786011,1.4769673347473145,0.015696048736572266
5000,50,0.2,1000,1.0799,20.2415,1.147963,0.008715,0.938812787,185766.3631,1.218000888824463,0.016453027725219727,1.0621551275253296,9.375235080718994,1.2743010520935059,0.015758275985717773
10000,10,0.1,1000,2.086899,17.0375,2.375994,0.002228,1.842761,120345.4721,2.414816379547119,0.0065500736236572266,2.0540692806243896,3.5947420597076416,2.423269748687744,0.006402015686035156
10000,10,0.2,2000,1.677009,21.6553,1.809641,0.002571,1.500199163,81679.8832,1.938413143157959,0.006898164749145508,1.6690576076507568,7.379685878753662,1.9318069219589233,0.006331920623779297
10000,20,0.1,1000,1.745952,28.2295,2.021746,0.004741,1.518918293,89351.8469,1.9522935152053833,0.013482093811035156,1.7356728315353394,7.486855983734131,1.9110136032104492,0.013220071792602539
