N,k,outlier_percent,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time,SimplifiedDRG_radius,SimplifiedDRG_time,OC_Forward_radius,OC_Forward_time,OC_Local_radius,OC_Local_time,DingRKC_radius,DingRKC_time
500,10,0.1,50,2.293026,0.0411,2.347544,0.001518,1.781567314,12.1894,2.476890802383423,0.0018489360809326,2.1075148582458496,0.0032930374145507,2.0848581790924072,0.009282112121582,2.19807053,0.058422
500,10,0.2,100,1.710126,0.0514,1.794867,0.000188,1.454164603,7.797,1.8609135150909424,0.0003368854522705,1.7086552381515503,0.0065782070159912,1.6822408437728882,0.0112590789794921,1.79653573,0.138438
500,20,0.1,50,1.73739,0.0656,1.804958,0.000332,1.396085515,6.8674,1.901821494102478,0.0008587837219238,1.7912510633468628,0.0067362785339355,1.7662585973739624,0.0185158252716064,1.75854075,0.106965
500,20,0.2,100,1.421619,0.0791,1.439944,0.000357,1.190512775,5.1429,1.5614922046661377,0.0006270408630371,1.3645881414413452,0.0126383304595947,1.3507273197174072,0.0269360542297363,1.46148741,0.213161
500,50,0.1,50,1.353,0.1373,1.353229,0.000772,1.044301669,3.4549,1.3518389463424685,0.0015308856964111,1.3303179740905762,0.0185861587524414,1.300015211105347,0.0304789543151855,1.31901288,0.249925
500,50,0.2,100,1.125,0.1492,1.071111,0.000911,0.8614662725,2.7172,1.1077097654342651,0.0014350414276123,1.0498783588409424,0.0322880744934082,1.0446712970733645,0.0445220470428466,1.0740329,0.518191
1000,10,0.1,100,2.152947,0.1506,2.429189,0.00027,1.803763113,122.1334,2.2921407222747803,0.0005960464477539,2.116579055786133,0.0114428997039794,2.0441701412200928,0.0300359725952148,2.15184832,0.162547
1000,10,0.2,200,1.720983,0.1982,1.976952,0.000267,1.47758163,51.6682,1.9651131629943848,0.0006070137023925,1.6831718683242798,0.0235600471496582,1.6450539827346802,0.0325918197631835,1.78216243,0.333428
1000,20,0.1,100,1.779135,0.249,1.866454,0.000484,1.460662755,52.4605,1.910261154174805,0.0011899471282958,1.7294257879257202,0.0223329067230224,1.715378761291504,0.0295460224151611,1.80568337,0.323704
1000,20,0.2,200,1.400784,0.298,1.456671,0.000511,1.195066574,26.9873,1.5332245826721191,0.001147985458374,1.3958345651626587,0.0445270538330078,1.3847575187683103,0.0545990467071533,1.52281141,0.647348
