N,k,outlier_pct,z,oc_correct_r,oc_correct_t,ding_radius,ding_time_s,gonz_radius,char_radius,char_3r,LP_est,Gonz_LP,Char_LP,OC_LP,Ding_LP
500,10,0.1,50,3.31111741,0.0286,3.3053267,0.0785,3.8835657,1.17997059,3.53991177,2.94889612,1.317,1.2004,1.1228,1.1209
500,10,0.2,100,2.81058168,0.0453,2.89988708,0.1598,3.6254969,1.01274028,3.03822084,2.52520986,1.4357,1.2032,1.113,1.1484
500,20,0.1,50,2.87453914,0.0498,2.7910111,0.1529,3.3632016,0.97386105,2.92158315,2.46408071,1.3649,1.1857,1.1666,1.1327
500,20,0.2,100,2.47786236,0.0874,2.5400877,0.3117,3.153524,0.89155742,2.6746722600000004,2.21567669,1.4233,1.2072,1.1183,1.1464
500,50,0.1,50,2.27788353,0.1407,2.26575875,0.3843,2.4976707,0.80652958,2.41958874,1.88771011,1.3231,1.2818,1.2067,1.2003
500,50,0.2,100,1.97360134,0.2438,2.03371787,0.7782,2.3664088,0.70473583,2.11420749,1.71401868,1.3806,1.2335,1.1514,1.1865
1000,10,0.1,100,3.41841221,0.0807,3.5335629,0.2472,4.232118,1.20430931,3.6129279299999997,3.04445336,1.3901,1.1867,1.1228,1.1607
1000,10,0.2,200,2.8966229,0.1687,3.017694,0.5086,3.9575658,1.08131808,3.24395424,2.60251491,1.5207,1.2465,1.113,1.1595
1000,20,0.1,100,2.92729759,0.2099,3.01051307,0.469,3.5168953,1.01395638,3.04186914,2.50930573,1.4015,1.2122,1.1666,1.1997
1000,20,0.2,200,2.49432325,0.3826,2.66228032,0.9724,3.295433,0.88482646,2.6544793799999997,2.23039583,1.4775,1.1901,1.1183,1.1936
1000,50,0.1,100,2.40600133,0.5499,2.42882609,1.1319,2.7828894,0.83086106,2.49258318,1.99388291,1.3957,1.2501,1.2067,1.2181
1000,50,0.2,200,2.06943297,0.8868,2.1460166,2.4271,2.623555,0.71834268,2.15502804,1.79724582,1.4598,1.1991,1.1514,1.1941
5000,10,0.1,500,2.79328966,1.9103,3.03159928,4.6837,4.3917904,0.96596307,2.89788921,2.48771639,1.7654,1.1649,1.1228,1.2186
5000,10,0.2,1000,2.45452189,3.482,2.63067961,9.4771,4.1357355,0.8298883,2.4896649,2.20530253,1.8754,1.1289,1.113,1.1929
5000,20,0.1,500,2.43157315,3.2927,2.65219831,8.5946,3.7412357,0.83246625,2.49739875,2.08436629,1.7949,1.1982,1.1666,1.2724
5000,20,0.2,1000,2.1119113,6.4085,2.30117011,18.2528,3.5431583,0.71669817,2.15009451,1.88844736,1.8762,1.1386,1.1183,1.2186
5000,50,0.1,500,2.05263972,8.2926,2.20283723,22.0588,2.7781167,0.70298373,2.10895119,1.7010478,1.6332,1.2398,1.2067,1.295
5000,50,0.2,1000,1.74959779,16.4105,1.91359282,45.2169,2.609081,0.61658087,1.8497426099999998,1.51947773,1.7171,1.2174,1.1514,1.2594
10000,10,0.1,1000,2.73508,6.7105,2.88239002,17.585,4.248118,0.9539869,2.8619607,2.4358746,1.744,1.1749,1.1228,1.1833
10000,10,0.2,2000,2.31290913,15.305,2.48691249,32.4683,4.005123,0.79883937,2.39651811,2.07806839,1.9273,1.1532,1.113,1.1967
10000,20,0.1,1000,2.37443709,13.3423,2.53183651,31.246,3.5993874,0.80928321,2.42784963,2.03538875,1.7684,1.1928,1.1666,1.2439
10000,20,0.2,2000,2.01633739,28.4124,2.21199226,69.141,3.4258244,0.70316461,2.10949383,1.80298624,1.9001,1.17,1.1183,1.2268
10000,50,0.1,1000,1.97925234,34.5445,2.1321764,79.9137,2.7607315,0.67505478,2.02516434,1.64023077,1.6831,1.2347,1.2067,1.2999
10000,50,0.2,2000,1.68359327,69.7064,1.85834157,166.9711,2.6177533,0.5852162,1.7556485999999998,1.46215461,1.7903,1.2007,1.1514,1.271
15000,10,0.1,1500,2.92471409,19.7843,3.11762762,40.8828,4.57328,1.04029992,3.1208997600000004,2.60476358,1.7557,1.1982,1.1228,1.1969
15000,10,0.2,3000,2.5125339,40.7668,2.71866512,83.8305,4.314179,0.91140864,2.73422592,2.2574243,1.9111,1.2112,1.113,1.2043
15000,20,0.1,1500,2.56364703,32.5382,2.78032231,79.6843,4.020338,0.8798326,2.6394978,2.19758121,1.8294,1.2011,1.1666,1.2652
15000,20,0.2,3000,2.20541883,68.2656,2.38542056,163.3397,3.8476253,0.77405009,2.32215027,1.97206074,1.9511,1.1775,1.1183,1.2096
15000,50,0.1,1500,2.15703321,82.2112,2.32453489,187.7632,3.001747,0.73298074,2.19894222,1.78755997,1.6792,1.2301,1.2067,1.3004
15000,50,0.2,3000,1.86576581,166.7719,2.04133081,371.3137,2.8204896,0.64993413,1.9498023899999999,1.62036647,1.7406,1.2033,1.1514,1.2598
