N,k,outlier_pct,z,oc_correct_r,oc_correct_t,ding_radius,ding_time_s,gonz_radius,char_radius,char_3r,LP_est,Gonz_LP,Char_LP,OC_LP,Ding_LP
500,10,0.1,50,2.11262965,0.0221,2.18419337,0.0528,3.0404007,0.72866622,2.18599866,1.88151751,1.6159,1.1618,1.1228,1.1609
500,10,0.2,100,1.7931217,0.048,1.85864878,0.1077,2.7778323,0.62720956,1.8816286800000002,1.61105747,1.7242,1.1679,1.113,1.1537
500,20,0.1,50,1.8851769,0.054,1.89095783,0.1013,2.3312027,0.62929269,1.88787807,1.61599053,1.4426,1.1682,1.1666,1.1702
500,20,0.2,100,1.55165017,0.1117,1.62766552,0.2096,2.1543903,0.57970783,1.73912349,1.38746815,1.5527,1.2535,1.1183,1.1731
500,50,0.1,50,1.44995713,0.1371,1.48840296,0.2565,1.677034,0.49523446,1.48570338,1.20159732,1.3957,1.2364,1.2067,1.2387
500,50,0.2,100,1.27105093,0.226,1.30723071,0.5223,1.5526451,0.44266754,1.3280026200000001,1.1038729,1.4065,1.203,1.1514,1.1842
1000,10,0.1,100,2.12438488,0.0823,2.24046493,0.1716,3.0714765,0.73499019,2.20497057,1.89198677,1.6234,1.1654,1.1228,1.1842
1000,10,0.2,200,1.81754208,0.151,1.86677825,0.356,2.81131,0.60828254,1.8248476200000001,1.63299833,1.7216,1.1175,1.113,1.1432
1000,20,0.1,100,1.83484006,0.1689,1.91652894,0.3384,2.5400338,0.63320022,1.89960066,1.57284134,1.6149,1.2078,1.1666,1.2185
1000,20,0.2,200,1.57212818,0.3218,1.66010809,0.6867,2.3842337,0.54687345,1.6406203499999998,1.40577936,1.696,1.1671,1.1183,1.1809
1000,50,0.1,100,1.5513835,0.4706,1.56728876,0.8116,1.8805647,0.52637376,1.57912128,1.2856506,1.4627,1.2283,1.2067,1.2191
1000,50,0.2,200,1.31272519,0.7813,1.3820132,1.6691,1.7686555,0.46260114,1.38780342,1.14006585,1.5514,1.2173,1.1514,1.2122
5000,10,0.1,500,2.21726465,1.985,2.30146241,3.313,3.6367986,0.76474937,2.29424811,1.97470591,1.8417,1.1618,1.1228,1.1655
5000,10,0.2,1000,1.87600541,5.5643,2.03953362,6.9346,3.2007294,0.65116031,1.95348093,1.6855256,1.899,1.159,1.113,1.21
5000,20,0.1,500,1.91876972,3.8809,2.0816412,6.3063,3.053474,0.6627045,1.9881135,1.6447866,1.8565,1.2087,1.1666,1.2656
5000,20,0.2,1000,1.64492691,6.9442,1.77737904,13.2636,2.7942297,0.55419025,1.66257075,1.47087516,1.8997,1.1303,1.1183,1.2084
5000,50,0.1,500,1.64068031,9.3922,1.74064004,15.0811,2.4224017,0.55419025,1.66257075,1.35965196,1.7816,1.2228,1.2067,1.2802
5000,50,0.2,1000,1.36618388,17.2934,1.50997078,32.0316,2.2706058,0.47326267,1.41978801,1.18649326,1.9137,1.1966,1.1514,1.2726
10000,10,0.1,1000,2.25789666,6.8464,2.4568398,13.0052,4.3354573,0.78485295,2.35455885,2.01089297,2.156,1.1709,1.1228,1.2218
10000,10,0.2,2000,1.90532374,17.1756,2.07470369,27.4785,3.7847042,0.66816528,2.0044958399999997,1.7118671,2.2109,1.1709,1.113,1.212
10000,20,0.1,1000,1.99600852,13.9859,2.14780354,24.906,3.491902,0.68834103,2.06502309,1.71099639,2.0409,1.2069,1.1666,1.2553
10000,20,0.2,2000,1.66911829,30.3125,1.84518528,51.8612,3.193714,0.5792096,1.7376288,1.49250682,2.1398,1.1642,1.1183,1.2363
10000,50,0.1,1000,1.68458676,34.9315,1.81209183,61.9503,2.8197188,0.5792096,1.7376288,1.39603778,2.0198,1.2447,1.2067,1.298
10000,50,0.2,2000,1.41385853,73.809,1.56517923,139.8463,2.6517506,0.4870328,1.4610984,1.22789739,2.1596,1.1899,1.1514,1.2747
15000,10,0.1,1500,2.31510925,15.1741,2.46362185,32.8315,4.3364367,0.80578464,2.41735392,2.06184676,2.1032,1.1724,1.1228,1.1949
15000,10,0.2,3000,1.92242169,34.1655,2.07850122,68.6546,3.8083332,0.68144924,2.0443477199999998,1.72722901,2.2049,1.1836,1.113,1.2034
15000,20,0.1,1500,2.02927542,30.5884,2.20496273,62.8195,3.4252226,0.7134452,2.1403356000000002,1.73951307,1.9691,1.2304,1.1666,1.2676
15000,20,0.2,3000,1.70588791,64.4551,1.88388038,133.2224,3.1718397,0.59561975,1.78685925,1.5253858,2.0794,1.1714,1.1183,1.235
15000,50,0.1,1500,1.7046808,77.1892,1.87948883,153.4902,2.992645,0.58115336,1.7434600799999997,1.41268996,2.1184,1.2341,1.2067,1.3304
15000,50,0.2,3000,1.44478405,166.61,1.59760189,323.5238,2.8283134,0.49858865,1.49576595,1.25475535,2.2541,1.1921,1.1514,1.2732
20000,10,0.1,2000,2.31131625,35.1473,2.49694657,66.1528,4.7822413,0.83127223,2.49381669,2.05846869,2.3232,1.2115,1.1228,1.213
20000,10,0.2,4000,1.98914206,60.6517,2.14775229,137.9566,4.2671065,0.69359937,2.08079811,1.78717494,2.3876,1.1643,1.113,1.2018
20000,20,0.1,2000,2.06039667,56.5685,2.23731995,132.9347,3.7724574,0.73499003,2.2049700899999998,1.76619049,2.1359,1.2484,1.1666,1.2667
20000,20,0.2,4000,1.74723339,117.1578,1.91759801,263.1363,3.5643196,0.60817252,1.8245175599999999,1.56235647,2.2814,1.1678,1.1183,1.2274
20000,50,0.1,2000,1.73585558,145.4475,1.91377211,311.3281,3.0514343,0.59777982,1.7933394599999999,1.43852488,2.1212,1.2467,1.2067,1.3304
20000,50,0.2,4000,1.47441304,295.3511,1.63201547,638.6083,2.9059708,0.50355559,1.5106667700000003,1.28048732,2.2694,1.1798,1.1514,1.2745
