N,k,Outlier_Percent,z,Radius,Time
500,10,0.1,50,2.347544,0.001518
500,10,0.2,100,1.794867,0.000188
500,20,0.1,50,1.804958,0.000332
500,20,0.2,100,1.439944,0.000357
500,50,0.1,50,1.353229,0.000772
500,50,0.2,100,1.071111,0.000911
1000,10,0.1,100,2.429189,0.000270
1000,10,0.2,200,1.976952,0.000267
1000,20,0.1,100,1.866454,0.000484
1000,20,0.2,200,1.456671,0.000511
1000,50,0.1,100,1.393470,0.001242
1000,50,0.2,200,1.155639,0.001336
5000,10,0.1,500,2.459514,0.000815
5000,10,0.2,1000,1.910563,0.000922
5000,20,0.1,500,1.950309,0.001827
5000,20,0.2,1000,1.586505,0.002078
5000,50,0.1,500,1.480460,0.005439
5000,50,0.2,1000,1.195763,0.004711
10000,10,0.1,1000,2.291372,0.001589
10000,10,0.2,2000,1.793847,0.001826
10000,20,0.1,1000,1.842888,0.004375
10000,20,0.2,2000,1.475967,0.003595
10000,50,0.1,1000,1.476463,0.008816
10000,50,0.2,2000,1.147963,0.008715
15000,10,0.1,1500,2.375994,0.002228
15000,10,0.2,3000,1.809641,0.002571
15000,20,0.1,1500,2.021746,0.004741
15000,20,0.2,3000,1.482378,0.006014
15000,50,0.1,1500,1.522736,0.013837
15000,50,0.2,3000,1.179058,0.014320
20000,10,0.1,2000,2.333395,0.003416
20000,10,0.2,4000,1.926569,0.003668
20000,20,0.1,2000,1.938769,0.006879
20000,20,0.2,4000,1.553954,0.007683
20000,50,0.1,2000,1.520910,0.018169
20000,50,0.2,4000,1.201830,0.018965
