N,k,Outlier_Percent,z,R_Standard,Time_Standard,R_Deterministic,Time_Deterministic,R_Randomized,Time_Randomized
500,10,0.1,50,3.113489,0.001127,2.347544,0.000161,2.284814,0.001217
500,10,0.2,100,2.925808,0.000101,1.794867,0.000330,1.897691,0.001029
500,20,0.1,50,2.445430,0.000215,1.804958,0.000300,1.837071,0.002025
500,20,0.2,100,2.299273,0.000199,1.439944,0.000304,1.483359,0.001893
500,50,0.1,50,1.420337,0.000514,1.353229,0.000701,1.379170,0.006411
500,50,0.2,100,1.319332,0.000429,1.071111,0.000725,1.135504,0.004784
1000,10,0.1,100,3.238390,0.000220,2.429189,0.000241,2.415133,0.001831
1000,10,0.2,200,3.011035,0.000151,1.976952,0.000262,2.030704,0.001488
1000,20,0.1,100,2.497824,0.000276,1.866454,0.000482,1.902880,0.002932
1000,20,0.2,200,2.322045,0.000340,1.456671,0.000519,1.512118,0.002890
1000,50,0.1,100,1.697067,0.000660,1.393470,0.001208,1.454022,0.009506
1000,50,0.2,200,1.580697,0.000670,1.155639,0.001224,1.173438,0.007852
5000,10,0.1,500,4.603306,0.000541,2.459514,0.000789,2.388668,0.005627
5000,10,0.2,1000,4.314392,0.000536,1.910563,0.000899,1.936171,0.005055
5000,20,0.1,500,2.860669,0.001095,1.950309,0.001891,1.953646,0.009783
5000,20,0.2,1000,2.681014,0.001022,1.586505,0.001784,1.563115,0.010446
5000,50,0.1,500,2.194468,0.002372,1.480460,0.004712,1.521294,0.023392
5000,50,0.2,1000,2.071277,0.002306,1.195763,0.004610,1.245412,0.024417
10000,10,0.1,1000,3.532571,0.000933,2.291372,0.001500,2.318723,0.009457
10000,10,0.2,2000,3.119671,0.001109,1.793847,0.001767,1.982015,0.010370
10000,20,0.1,1000,3.247583,0.001820,1.842888,0.003866,1.988034,0.020066
10000,20,0.2,2000,2.932245,0.001909,1.475967,0.003691,1.591819,0.020648
10000,50,0.1,1000,2.483464,0.004683,1.476463,0.008921,1.593086,0.046904
10000,50,0.2,2000,2.317487,0.004632,1.147963,0.008435,1.231956,0.049283
15000,10,0.1,1500,3.615555,0.001414,2.375994,0.002386,2.457630,0.014689
15000,10,0.2,3000,3.164339,0.001497,1.809641,0.002748,1.892908,0.014968
15000,20,0.1,1500,3.279368,0.002807,2.021746,0.004921,1.982706,0.028320
15000,20,0.2,3000,2.981122,0.002616,1.482378,0.005889,1.648009,0.029723
15000,50,0.1,1500,2.464515,0.006602,1.522736,0.014170,1.582844,0.070175
15000,50,0.2,3000,2.296019,0.006864,1.179058,0.014329,1.289816,0.075328
20000,10,0.1,2000,3.810891,0.002001,2.333395,0.003537,2.316733,0.019438
20000,10,0.2,4000,3.512093,0.001898,1.926569,0.003896,1.980277,0.019973
20000,20,0.1,2000,3.453686,0.003777,1.938769,0.007483,1.912202,0.037237
20000,20,0.2,4000,3.225080,0.003749,1.553954,0.007757,1.548342,0.037559
20000,50,0.1,2000,2.714911,0.008926,1.520910,0.018506,1.539789,0.094149
20000,50,0.2,4000,2.536514,0.008943,1.201830,0.019224,1.274464,0.094203
