N,k,outlier_percent,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time
500,10,0.1,50,0.2383351,0.032,1.3388237,0.000238,1.02023986,12.1453
500,10,0.2,100,0.1991817,0.0359,1.1330835,0.000172,0.89849369,7.4423
500,20,0.1,50,0.1887795,0.0529,0.9484187,0.000277,0.73147317,8.9999
500,20,0.2,100,0.1482842,0.0584,0.8816939,0.000275,0.7142231,5.5148
500,50,0.1,50,0.1301142,0.1037,0.4846613,0.000599,0.37192395,6.0556
500,50,0.2,100,0.1002128,0.1199,0.4423418,0.000598,0.349637,3.7107
1000,10,0.1,100,0.2346487,0.1277,1.520687,0.000253,1.15882733,101.3929
1000,10,0.2,200,0.1905709,0.155,1.3370941,0.000255,1.06026663,62.1305
1000,20,0.1,100,0.1892272,0.2005,0.9723459,0.000479,0.74992722,75.1337
1000,20,0.2,200,0.1478091,0.2484,0.9032016,0.00044,0.73164561,46.0396
1000,50,0.1,100,0.124608,0.3708,0.523918,0.000971,0.40204914,50.554
1000,50,0.2,200,0.0978083,0.5313,0.4703174,0.00097,0.37174956,30.9779
5000,10,0.1,500,0.2890524,3.3428,1.8392085,0.000963,1.40155409,13992.4239
5000,10,0.2,1000,0.2358141,3.9214,1.5516853,0.000999,1.23042964,8574.1366
5000,20,0.1,500,0.2235954,5.5054,1.656884,0.001723,1.27788096,10368.595
5000,20,0.2,1000,0.1756985,7.0542,1.4531754,0.001783,1.17715622,6353.5632
5000,50,0.1,500,0.163056,11.1185,0.9563882,0.004002,0.73392223,6976.5468
5000,50,0.2,1000,0.1220759,15.5731,0.8687976,0.004083,0.68671733,4275.0181
10000,10,0.1,1000,0.3258487,14.0253,1.9373494,0.001961,1.47634162,116813.0688
10000,10,0.2,2000,0.2357059,22.4213,1.5979018,0.001865,1.26707763,71579.5355
10000,20,0.1,1000,0.2368915,28.5747,1.7187003,0.003724,1.32555715,86560.2279
10000,20,0.2,2000,0.1818434,33.0268,1.4919047,0.003962,1.2085292,53041.5044
10000,50,0.1,1000,0.169555,54.8075,1.1528753,0.009109,0.88470439,58242.3634
10000,50,0.2,2000,0.1306141,70.5285,1.0834539,0.00879,0.85638653,35689.1687
15000,10,0.1,1500,0.3152439,34.7087,1.9281542,0.003018,1.46933448,404195.9748
15000,10,0.2,3000,0.2279816,46.6731,1.6164135,0.003155,1.28175669,247679.1375
15000,20,0.1,1500,0.2324209,57.9944,1.7204314,0.005787,1.32689231,299515.2516
15000,20,0.2,3000,0.1792299,74.5511,1.5188756,0.005807,1.23037716,183533.9385
15000,50,0.1,1500,0.1694317,118.7248,1.1687353,0.012816,0.89687515,201529.9236
15000,50,0.2,3000,0.1307728,164.7532,1.101903,0.013692,0.8709691,123491.4763
20000,10,0.1,2000,0.3178932,62.6777,1.9065225,0.004426,1.45285021,975191.5111
20000,10,0.2,4000,0.2400116,80.4893,1.6152188,0.004254,1.28080932,597568.03
20000,20,0.1,2000,0.2423975,105.3722,1.7468277,0.007264,1.34725059,722631.4684
20000,20,0.2,4000,0.1825255,136.9761,1.5429542,0.006536,1.24988223,442806.8314
20000,50,0.1,2000,0.1707441,220.0637,1.1626633,0.016187,0.89221562,486225.205
20000,50,0.2,4000,0.1311593,281.3955,1.0847424,0.015267,0.85740502,297944.1828
