dataset,N,k,outlier_percent,z,LP_Radius,LP_Time,OC_Local_radius,OC_Local_time,OC_Forward_radius,OC_Forward_time,DingRKC_radius,DingRKC_time,gonzalez_radius,gonzalez_time
diabetes,100,50,0.1,10,1.2978335618972778,0.62,1.3975497037943114,0.018,1.3975497037943114,0.012,1.3739124398012894,0.112,1.3975497484207153,0.001
diabetes,100,20,0.2,20,1.7094861268997192,0.78,1.8463695128516897,0.012,1.9209007078846299,0.005,1.8463695128516897,0.083,1.94841468334198,0.0
diabetes,100,50,0.2,20,1.1623077392578125,0.61,1.297789827537097,0.024,1.297789827537097,0.016,1.2220359691280132,0.204,1.2977898120880127,0.004
diabetes,100,20,0.1,10,1.8324774503707886,0.94,2.2848328036620837,0.005,2.2848328036620837,0.003,2.175338641396918,0.048,2.284832715988159,0.001
diabetes,100,10,0.2,20,1.9124902486801147,1.14,2.3708743189905928,0.004,2.3708743189905928,0.002,2.2262563251557106,0.045,2.3529813289642334,0.0
diabetes,100,10,0.1,10,2.237070083618164,1.66,2.7496710213996183,0.003,2.7496710213996183,0.001,2.712879923064111,0.021,2.7788825035095215,0.0
covertype,100,20,0.2,20,2.090982675552368,0.61,2.5285774326568973,0.009,2.5329490109658552,0.005,2.316876549352041,0.079,2.3725104331970215,0.001
covertype,100,20,0.1,10,2.3260135650634766,0.77,2.938398807701027,0.005,2.938398807701027,0.003,2.6341992813241046,0.035,2.752216339111328,0.001
covertype,100,10,0.2,20,2.3570773601531982,0.78,2.962004828083601,0.006,3.032379637044153,0.002,2.7369002200961634,0.036,3.1654858589172363,0.0
covertype,100,50,0.1,10,1.6134144067764282,0.49,1.7714370789754394,0.016,1.7903397782544637,0.01,1.710420445683332,0.096,1.7104204893112183,0.001
covertype,100,10,0.1,10,2.770702362060547,1.34,3.2437452762315946,0.003,3.248026966725909,0.001,3.1418759906568847,0.02,3.2480533123016357,0.0
covertype,100,50,0.2,20,1.4784115552902222,0.44,1.5531448335151385,0.028,1.5531448335151385,0.019,1.5495804008343301,0.202,1.5943102836608887,0.001
diabetes,200,50,0.2,40,1.3445286750793457,3.47,1.4694664602662344,0.057,1.4694664602662344,0.033,1.4622074011095512,0.48,1.4587422609329224,0.002
diabetes,200,50,0.1,20,1.513249158859253,4.07,1.6762910322557942,0.03,1.6890598440684392,0.019,1.6369699715406443,0.291,1.6910566091537476,0.006
