N,k,outlier_percent,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time
500,10,0.1,50,1.1799706,0.0652,3.663645,0.000674,2.71916059,12.1453
500,10,0.2,100,1.0127403,0.0747,3.3707025,0.000381,2.39425793,7.4423
500,20,0.1,50,0.9738611,0.103,3.2576451,0.000391,2.2448675,8.9999
500,20,0.2,100,0.8915574,0.1079,3.0298038,0.000378,2.05928271,5.5148
500,50,0.1,50,0.8065296,0.2007,2.5610118,0.000835,1.76086697,6.0556
500,50,0.2,100,0.7047358,0.2309,2.3765895,0.00084,1.62250675,3.7107
1000,10,0.1,100,1.2043093,0.2932,4.1955895,0.000354,2.92166826,101.3929
1000,10,0.2,200,1.0813181,0.3331,3.9183872,0.00037,2.50552192,62.1305
1000,20,0.1,100,1.0139564,0.4927,3.5475535,0.000645,2.41972871,75.1337
1000,20,0.2,200,0.8848265,0.511,3.3327417,0.00069,2.17224396,46.0396
1000,50,0.1,100,0.8308611,0.8224,2.7702041,0.001554,1.89171946,50.554
1000,50,0.2,200,0.7183427,1.2703,2.6403859,0.001739,1.71166971,30.9779
5000,10,0.1,500,0.9659631,5.9207,3.7873158,0.001688,2.55122843,13992.4239
5000,10,0.2,1000,0.8298883,5.838,3.4504707,0.00105,2.19597526,8574.1366
5000,20,0.1,500,0.8324663,9.5018,3.3877864,0.001924,2.13528265,10368.595
5000,20,0.2,1000,0.7166982,9.2229,3.1467907,0.002007,1.86630246,6353.5632
5000,50,0.1,500,0.7029837,22.5185,2.8109274,0.004469,1.69249099,6976.5468
5000,50,0.2,1000,0.6165809,31.3211,2.6439135,0.008146,1.5222711,4275.0181
10000,10,0.1,1000,0.9539869,33.4881,3.8039231,0.002158,2.40816551,116813.0688
10000,10,0.2,2000,0.7988394,34.5479,3.4130905,0.004308,2.04377336,71579.5355
10000,20,0.1,1000,0.8092832,50.9912,3.3942466,0.018259,2.02547198,86560.2279
10000,20,0.2,2000,0.7031646,74.1228,3.1543238,0.006739,1.79692623,53041.5044
10000,50,0.1,1000,0.6750548,113.1294,2.7616487,0.008732,1.65599494,58242.3634
10000,50,0.2,2000,0.5852162,137.8068,2.5867033,0.008845,1.49197938,35689.1687
15000,10,0.1,1500,1.0402999,68.7443,4.2003736,0.003214,2.5503548,404195.9748
15000,10,0.2,3000,0.9114086,81.9573,3.7990334,0.003081,2.26387939,247679.1375
15000,20,0.1,1500,0.8798326,110.9133,3.6703055,0.005628,2.23267908,299515.2516
15000,20,0.2,3000,0.7740501,125.9605,3.4275761,0.005608,1.97515405,183533.9385
15000,50,0.1,1500,0.7329807,165.997,2.9735875,0.012727,1.81904293,201529.9236
15000,50,0.2,3000,0.6499341,245.8596,2.7836871,0.017407,1.6227614,123491.4763
20000,10,0.1,2000,1.0540173,102.7896,4.2426467,0.004667,2.70442231,975191.5111
20000,10,0.2,4000,0.9186878,126.8012,3.8298292,0.005173,2.29661418,597568.03
20000,20,0.1,2000,0.9181052,150.7826,3.7721205,0.010729,2.26281093,722631.4684
20000,20,0.2,4000,0.7907348,191.0972,3.4930766,0.007793,1.99933414,442806.8314
20000,50,0.1,2000,0.7536658,865.491,3.0261548,0.018311,1.92339732,486225.205
20000,50,0.2,4000,0.6594423,1436.1285,2.826694,0.066364,1.65259231,297944.1828
