N,k,outlier_percent,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time
500,10,0.1,50,0.7286662,0.0382,2.7414002,0.000793,1.78832133,12.1453
500,10,0.2,100,0.6272096,0.0486,2.375381,0.000178,1.52970129,7.4423
500,20,0.1,50,0.6292927,0.0641,2.2927549,0.000304,1.52133478,8.9999
500,20,0.2,100,0.5797078,0.0737,2.1156187,0.0003,1.32505789,5.5148
500,50,0.1,50,0.4952345,0.1396,1.6824092,0.000787,1.15756711,6.0556
500,50,0.2,100,0.4426675,0.1775,1.5498987,0.000789,1.03658586,3.7107
1000,10,0.1,100,0.7349902,0.1683,2.8628998,0.000369,1.90859288,101.3929
1000,10,0.2,200,0.6082825,0.3116,2.5784869,0.00029,1.5613127,62.1305
1000,20,0.1,100,0.6332002,0.2875,2.483752,0.000554,1.53779401,75.1337
1000,20,0.2,200,0.5468734,0.3109,2.2883992,0.000594,1.34717547,46.0396
1000,50,0.1,100,0.5263738,0.3423,1.8169874,0.001146,1.21664129,50.554
1000,50,0.2,200,0.4626011,0.5928,1.7035797,0.001104,1.09322164,30.9779
5000,10,0.1,500,0.7647494,4.5891,3.3104143,0.001248,1.94007061,13992.4239
5000,10,0.2,1000,0.6511603,5.5464,2.8441272,0.001219,1.69186367,8574.1366
5000,20,0.1,500,0.6627045,6.7107,2.8525536,0.001947,1.66534799,10368.595
5000,20,0.2,1000,0.5541902,8.8674,2.5815899,0.001995,1.4287086,6353.5632
5000,50,0.1,500,0.5541902,12.9202,2.337976,0.00466,1.37875801,6976.5468
5000,50,0.2,1000,0.4732627,16.7949,2.1765878,0.0046,1.20628854,4275.0181
10000,10,0.1,1000,0.7848529,17.9659,3.4148488,0.002362,2.02485008,116813.0688
10000,10,0.2,2000,0.6681653,21.8724,2.8921819,0.002323,1.72762058,71579.5355
10000,20,0.1,1000,0.688341,28.0681,2.9894533,0.004036,1.72511679,86560.2279
10000,20,0.2,2000,0.5792096,37.9369,2.670702,0.004129,1.47319042,53041.5044
10000,50,0.1,1000,0.5792096,54.8606,2.6565647,0.00921,1.45701052,58242.3634
10000,50,0.2,2000,0.4870328,73.6164,2.4503186,0.010807,1.25856442,35689.1687
15000,10,0.1,1500,0.8057846,41.9863,3.4950864,0.003465,2.02956595,404195.9748
15000,10,0.2,3000,0.6814492,57.1901,2.993866,0.003193,1.73236865,247679.1375
15000,20,0.1,1500,0.7134452,61.5858,3.2084179,0.005934,1.77514337,299515.2516
15000,20,0.2,3000,0.5956197,82.6566,2.8368897,0.00563,1.56085015,183533.9385
15000,50,0.1,1500,0.5811534,132.0642,2.7562437,0.014887,1.48738981,201529.9236
15000,50,0.2,3000,0.4985886,256.8032,2.5294414,0.014416,1.27031355,123491.4763
20000,10,0.1,2000,0.8312722,85.736,3.5395896,0.010092,2.0626945,975191.5111
20000,10,0.2,4000,0.6935994,140.8716,2.9956808,0.004819,1.76736644,597568.03
20000,20,0.1,2000,0.73499,127.6246,3.4125493,0.007572,1.80898393,722631.4684
20000,20,0.2,4000,0.6081725,176.4102,2.9573812,0.017777,1.56657368,442806.8314
20000,50,0.1,2000,0.5977798,333.5087,2.8703506,0.017753,1.52154832,486225.205
20000,50,0.2,4000,0.5035556,386.1196,2.6016586,0.019787,1.30293321,297944.1828
