N,k,outlier_percent,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time
500,10,0.1,50,0.4521986,0.0535,1.9641984,0.00074,0.44767661,12.1453
500,10,0.2,100,0.3302414,0.0609,1.6500812,0.000187,0.32693899,7.4423
500,20,0.1,50,0.2850389,0.0845,1.2229731,0.000295,0.28218851,8.9999
500,20,0.2,100,0.2269307,0.0986,1.1261133,0.000295,0.22466139,5.5148
500,50,0.1,50,0.1718497,0.1613,0.6220751,0.000666,0.1701312,6.0556
500,50,0.2,100,0.1363593,0.1888,0.5552198,0.000659,0.13499571,3.7107
1000,10,0.1,100,0.4284148,0.1829,2.8995042,0.000307,0.42413065,101.3929
1000,10,0.2,200,0.3185702,0.2325,2.2504859,0.000294,0.3153845,62.1305
1000,20,0.1,100,0.2835464,0.3281,1.6342872,0.0005,0.28071094,75.1337
1000,20,0.2,200,0.2308481,0.4324,1.4355484,0.000505,0.22853962,46.0396
1000,50,0.1,100,0.1629616,0.7277,0.6650302,0.001184,0.16133198,50.554
1000,50,0.2,200,0.1349095,0.799,0.6012234,0.00118,0.1335604,30.9779
5000,10,0.1,500,0.4580909,6.3428,4.0783467,0.001094,0.45350999,13992.4239
5000,10,0.2,1000,0.3205456,11.1808,2.9990392,0.001373,0.31734014,8574.1366
5000,20,0.1,500,0.2726252,12.9685,2.9990392,0.004062,0.26989895,10368.595
5000,20,0.2,1000,0.2101607,13.3436,2.5756335,0.00204,0.20805909,6353.5632
5000,50,0.1,500,0.1674146,30.4922,1.1683551,0.004717,0.16574045,6976.5468
5000,50,0.2,1000,0.132295,28.934,1.0383379,0.004937,0.13097205,4275.0181
10000,10,0.1,1000,0.4650139,30.1309,4.010076,0.003064,0.46036376,116813.0688
10000,10,0.2,2000,0.3188415,31.8286,2.9840996,0.002761,0.31565308,71579.5355
10000,20,0.1,1000,0.2799027,55.0702,3.991756,0.004066,0.27710367,86560.2279
10000,20,0.2,2000,0.2124001,62.8195,2.977798,0.004017,0.2102761,53041.5044
10000,50,0.1,1000,0.1616442,109.1531,1.7308884,0.009033,0.16002776,58242.3634
10000,50,0.2,2000,0.131729,135.825,1.5254997,0.009066,0.13041171,35689.1687
15000,10,0.1,1500,0.4577019,64.0869,3.9723582,0.003219,0.45312488,404195.9748
15000,10,0.2,3000,0.3189216,80.6941,2.977798,0.003157,0.31573238,247679.1375
15000,20,0.1,1500,0.2878156,148.0309,3.9477396,0.006057,0.28493744,299515.2516
15000,20,0.2,3000,0.2128449,176.8416,2.9704459,0.005988,0.21071645,183533.9385
15000,50,0.1,1500,0.1594379,311.4262,2.0680981,0.020164,0.15784352,201529.9236
15000,50,0.2,3000,0.1284824,368.5608,1.7903477,0.02773,0.12719758,123491.4763
20000,10,0.1,2000,0.4574254,149.7557,3.9617088,0.00445,0.45285115,975191.5111
20000,10,0.2,4000,0.3168985,158.476,2.9578876,0.008565,0.31372952,597568.03
20000,20,0.1,2000,0.2828246,265.0797,3.9399881,0.007522,0.27999635,722631.4684
20000,20,0.2,4000,0.2088231,288.5836,2.9525352,0.007522,0.20673487,442806.8314
20000,50,0.1,2000,0.1607011,570.8497,2.9145646,0.017781,0.15909409,486225.205
20000,50,0.2,4000,0.132045,652.3945,2.5073149,0.017739,0.13072455,297944.1828
