N,k,outlier_percent,z,LP_Radius,LP_Time,OC_Forward_radius,OC_Forward_time,OC_Local_radius,OC_Local_time,DingRKC_radius,DingRKC_time,gonzalez_radius,gonzalez_time
500,10,0.1,50,2.7746942043304443,470.94,3.1749737779220917,0.013,3.1749737779220917,0.025,3.19045830560429,0.26,3.289787530899048,0.007
500,10,0.2,100,2.466235399246216,258.71,2.729414582598209,0.025,2.707647484224421,0.053,2.7699427581339062,0.611,2.8015542030334473,0.001
500,20,0.1,50,2.3700637817382812,170.62,2.779619397343819,0.025,2.7647868287737283,0.067,2.8287236217889284,0.667,2.879589319229126,0.001
500,20,0.2,100,2.1007351875305176,97.4,2.3750182489962217,0.056,2.328280116625584,0.146,2.4601898931103405,1.54,2.5472633838653564,0.001
500,50,0.1,50,1.917789340019226,69.3,2.2907487437743033,0.079,2.2400728954534372,0.358,2.3001597876343713,1.403,2.2774388790130615,0.009
500,50,0.2,100,1.6908211708068848,48.72,2.0020212438346667,0.148,1.9701094311380531,0.764,2.026905126474413,2.922,2.1038784980773926,0.003
1000,10,0.1,100,2.801588456701066,101.3929,3.69953823,0.0105,3.66236234,0.014351,3.5335629,0.39005,4.1955895,0.000354
1000,10,0.2,200,2.522881353211252,62.1305,3.3240873,0.012108,3.29543281,0.016283,3.017694,0.803425,3.9183872,0.00037
1000,20,0.1,100,2.3914828783878384,75.1337,3.1918106,0.02394,3.15029407,0.032344,3.01051307,0.773549,3.5475535,0.000645
1000,20,0.2,200,2.1203464422098524,46.0396,2.87123315,0.028449,2.83791661,0.040107,2.66228032,2.4614,3.3327417,0.00069
1000,50,0.1,100,2.0432485028176677,50.554,2.66675115,0.083465,2.64038587,0.11209,2.42882609,3.004075,2.7702041,0.001554
1000,50,0.2,200,1.801983393096314,30.9779,2.48629873,0.051202,2.46563339,0.070433,2.1460166,5.138078,2.6403859,0.001739
5000,10,0.1,500,2.8329171355559466,13992.4239,3.31568635,0.036233,3.28329372,0.048939,3.03159928,6.513967,3.7873158,0.001688
5000,10,0.2,1000,2.61752621195,8574.1366,3.04175512,0.035731,3.01178455,0.047973,2.63067961,12.896186,3.4504707,0.00105
5000,20,0.1,500,2.432733542475328,10368.595,3.0846108,0.029997,3.04689741,0.041901,2.65219831,6.585956,3.3877864,0.001924
5000,20,0.2,1000,2.1358330603047784,6353.5632,2.88012819,0.091643,2.84646773,0.129897,2.30117011,18.074455,3.1467907,0.002007
5000,50,0.1,500,2.19182304385,6976.5468,2.57395174,0.115237,2.54010916,0.161987,2.20283723,24.625381,2.8109274,0.004469
5000,50,0.2,1000,1.9040248559000001,4275.0181,2.40558934,0.134161,2.37980819,0.185984,1.91359282,36.993644,2.6439135,0.008146
10000,10,0.1,1000,2.8465173651753273,116813.0688,3.31885415,0.087471,3.29017186,0.11806,2.88239002,20.502054,3.8039231,0.002158
10000,10,0.2,2000,2.4744779275499997,71579.5355,3.05054446,0.073289,3.01353979,0.098635,2.48691249,35.382438,3.4130905,0.004308
10000,20,0.1,1000,2.450717732215829,86560.2279,3.08093673,0.070472,3.04270601,0.100624,2.53183651,33.92853,3.3942466,0.018259
10000,20,0.2,2000,2.1425375828122166,53041.5044,2.8684687,0.073907,2.83622742,0.101865,2.21199226,58.863562,3.1543238,0.006739
10000,50,0.1,1000,2.1215155180000003,58242.3634,2.56753306,0.380886,2.53552008,0.528369,2.1321764,93.509381,2.7616487,0.008732
10000,50,0.2,2000,1.84904986215,35689.1687,2.40799013,0.253536,2.38187814,0.356538,1.85834157,190.432418,2.5867033,0.008845
15000,10,0.1,1500,2.8545032368712215,404195.9748,3.63307232,0.068046,3.59305859,0.096383,3.11762762,36.699704,4.2003736,0.003214
15000,10,0.2,3000,2.7050717944,247679.1375,3.31691976,0.171165,3.28224206,0.238764,2.71866512,81.082744,3.7990334,0.003081
15000,20,0.1,1500,2.4612993776631953,299515.2516,3.34029047,0.135644,3.31327891,0.181549,2.78032231,93.75397,3.6703055,0.005628
15000,20,0.2,3000,2.1464692291383054,183533.9385,3.11750563,0.264378,3.09077859,0.369161,2.38542056,179.762089,3.4275761,0.005608
15000,50,0.1,1500,2.31291221555,201529.9236,2.79253931,0.41554,2.76985812,0.572417,2.32453489,198.599255,2.9735875,0.012727
15000,50,0.2,3000,2.0311241559499997,123491.4763,2.62898135,0.748723,2.59827375,1.018462,2.04133081,407.731042,2.7836871,0.017407
20000,10,0.1,2000,2.8601828865900023,975191.5111,3.7153397,0.155655,3.67896891,0.216735,3.18165541,69.985652,4.2426467,0.004667
20000,10,0.2,4000,2.7320921619075045,597568.03,3.41444152,0.201549,3.37711954,0.269238,2.77439523,165.310129,3.8298292,0.005173
20000,20,0.1,2000,2.468834871609457,722631.4684,3.20757543,0.189003,3.16502047,0.252637,2.80865479,143.228132,3.7721205,0.010729
20000,20,0.2,4000,2.1492631512632205,442806.8314,2.97844599,0.177624,2.95042944,0.249266,2.47529149,287.569717,3.4930766,0.007793
20000,50,0.1,2000,2.37876036035,486225.205,2.79156934,0.466817,2.76266551,0.644008,2.39071393,348.889148,3.0261548,0.018311
20000,50,0.2,4000,2.0819579995,297944.1828,2.61819914,0.479332,2.58579063,0.670353,2.0924201,761.834867,2.826694,0.066364
