N,k,outlier_percent,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time,OC_Forward_radius,OC_Forward_time,OC_Local_radius,OC_Local_time,DingRKC_radius,DingRKC_time
500,10,0.1,50,0.7286662,0.0382,2.7414002,0.000793,2.01342444,12.1453,2.28237427,0.002946,2.25922346,0.004119,2.18419337,0.052166
500,10,0.2,100,0.6272096,0.0486,2.375381,0.000178,1.80552812,7.4423,2.04205861,0.002779,2.01445198,0.003942,1.85864878,0.107167
500,20,0.1,50,0.6292927,0.0641,2.2927549,0.000304,1.69356568,8.9999,2.00254334,0.005226,1.97803164,0.007118,1.89095783,0.106593
500,20,0.2,100,0.5797078,0.0737,2.1156187,0.0003,1.6378999,5.5148,1.85392999,0.004614,1.83268559,0.00639,1.62766552,0.210044
500,50,0.1,50,0.4952345,0.1396,1.6824092,0.000787,1.26445028,6.0556,1.53680298,0.012608,1.52319157,0.017856,1.48840296,0.251841
500,50,0.2,100,0.4426675,0.1775,1.5498987,0.000789,1.22843155,3.7107,1.4245551,0.015764,1.41193807,0.021751,1.30723071,0.514751
1000,10,0.1,100,0.7349902,0.1683,2.8628998,0.000369,2.09274106,101.3929,2.36382046,0.004563,2.34424949,0.006503,2.24046493,0.168075
1000,10,0.2,200,0.6082825,0.3116,2.5784869,0.00029,1.92911732,62.1305,2.17975528,0.004675,2.15136361,0.006271,1.86677825,0.349436
1000,20,0.1,100,0.6332002,0.2875,2.483752,0.000554,1.83034048,75.1337,2.16113887,0.007385,2.136343,0.010358,1.91652894,0.329763
1000,20,0.2,200,0.5468734,0.3109,2.2883992,0.000594,1.74458418,46.0396,1.97712616,0.011333,1.95320249,0.015458,1.66010809,0.671517
1000,50,0.1,100,0.5263738,0.3423,1.8169874,0.001146,1.41177722,50.554,1.71332449,0.020797,1.69951844,0.029063,1.56728876,0.788134
1000,50,0.2,200,0.4626011,0.5928,1.7035797,0.001104,1.36730348,30.9779,1.60004261,0.022392,1.57823229,0.030843,1.3820132,1.64509
5000,10,0.1,500,0.7647494,4.5891,3.3104143,0.001248,2.42675799,13992.4239,2.76515542,0.021655,2.72968411,0.029773,2.30146241,3.270518
5000,10,0.2,1000,0.6511603,5.5464,2.8441272,0.001219,2.23681118,8574.1366,2.5087834,0.02104,2.48573065,0.029665,2.03953362,6.813113
5000,20,0.1,500,0.6627045,6.7107,2.8525536,0.001947,2.16574772,10368.595,2.5453071,0.032947,2.5223763,0.044019,2.0816412,6.293678
