N,k,outlier_percent,z,LP_Radius,LP_Time,OC_Forward_radius,OC_Forward_time,OC_Local_radius,OC_Local_time,DingRKC_radius,DingRKC_time,gonzalez_radius,gonzalez_time
500,10,0.1,50,2.339961528778076,598.94,2.681194943543913,0.011,2.64722104421541,0.028,2.788424109812889,0.224,3.1938533782958984,0.001
500,10,0.2,100,1.9618895053863523,234.28,2.207201202062494,0.024,2.193075856237554,0.054,2.330464329747321,0.59,2.2873783111572266,0.001
500,20,0.1,50,1.9735379219055176,211.48,2.328360383966249,0.02,2.326334092748452,0.047,2.3851212211041086,0.522,2.5340936183929443,0.002
500,20,0.2,100,1.6918208599090576,166.51,1.9948736887988137,0.051,1.9440874160089487,0.341,2.0440052612990685,1.225,2.064631223678589,0.001
500,50,0.1,50,1.637736201286316,105.19,1.950861104852892,0.089,1.8804509795422415,0.545,1.9354115276140451,1.619,1.9218260049819944,0.005
500,50,0.2,100,1.370910882949829,57.86,1.587062329868072,0.137,1.5727633352489558,0.584,1.6778819930493616,2.325,1.6682628393173218,0.004
1000,10,0.1,100,2.2292626053499998,101.3929,2.36382046,0.004563,2.34424949,0.006503,2.24046493,0.168075,2.8628998,0.000369
1000,10,0.2,200,1.85744435875,62.1305,2.17975528,0.004675,2.15136361,0.006271,1.86677825,0.349436,2.5784869,0.00029
1000,20,0.1,100,1.9069462953,75.1337,2.16113887,0.007385,2.136343,0.010358,1.91652894,0.329763,2.483752,0.000554
1000,20,0.2,200,1.65180754955,46.0396,1.97712616,0.011333,1.95320249,0.015458,1.66010809,0.671517,2.2883992,0.000594
1000,50,0.1,100,1.5594523162,50.554,1.71332449,0.020797,1.69951844,0.029063,1.56728876,0.788134,1.8169874,0.001146
1000,50,0.2,200,1.375103134,30.9779,1.60004261,0.022392,1.57823229,0.030843,1.3820132,1.64509,1.7035797,0.001104
5000,10,0.1,500,2.28995509795,13992.4239,2.76515542,0.021655,2.72968411,0.029773,2.30146241,3.270518,3.3104143,0.001248
5000,10,0.2,1000,2.0293359519,8574.1366,2.5087834,0.02104,2.48573065,0.029665,2.03953362,6.813113,2.8441272,0.001219
5000,20,0.1,500,2.071232994,10368.595,2.5453071,0.032947,2.5223763,0.044019,2.0816412,6.293678,2.8525536,0.001947
5000,20,0.2,1000,1.7684921448,6353.5632,2.34496041,0.040304,2.32381272,0.054556,1.77737904,13.145331,2.5815899,0.001995
5000,50,0.1,500,1.7319368398,6976.5468,2.22873367,0.089148,2.20704842,0.119345,1.74064004,14.876453,2.337976,0.00466
5000,50,0.2,1000,1.5024209260999999,4275.0181,2.0837422,0.150305,2.06076765,0.201822,1.50997078,33.649359,2.1765878,0.0046
10000,10,0.1,1000,2.444555601,116813.0688,2.9495922,0.055114,2.91867852,0.07551,2.4568398,13.266753,3.4148488,0.002362
10000,10,0.2,2000,2.06433017155,71579.5355,2.6633674,0.047081,2.63765717,0.063104,2.07470369,26.8082,2.8921819,0.002323
10000,20,0.1,1000,2.1370645222999998,86560.2279,2.81070638,0.083916,2.77828074,0.119127,2.14780354,24.880893,2.9894533,0.004036
10000,20,0.2,2000,1.8088232634217503,53041.5044,2.56341372,0.088591,2.54095936,0.124812,1.84518528,51.443638,2.670702,0.004129
10000,50,0.1,1000,1.8030313708499999,58242.3634,2.40491159,0.245834,2.38168335,0.35006,1.81209183,60.464544,2.6565647,0.00921
10000,50,0.2,2000,1.55735333385,35689.1687,2.23552983,0.327186,2.21296167,0.456794,1.56517923,125.523672,2.4503186,0.010807
15000,10,0.1,1500,2.45130374075,404195.9748,3.05131523,0.057356,3.01890302,0.079724,2.46362185,29.116929,3.4950864,0.003465
15000,10,0.2,3000,2.0681087139,247679.1375,2.73393889,0.06577,2.69962382,0.092171,2.07850122,60.229046,2.993866,0.003193
15000,20,0.1,1500,2.19393791635,299515.2516,2.86841899,0.129673,2.84227562,0.174894,2.20496273,57.629658,3.2084179,0.005934
15000,20,0.2,3000,1.8224492292883183,183533.9385,2.60192649,0.124744,2.57339931,0.173778,1.88388038,138.498399,2.8368897,0.00563
15000,50,0.1,1500,1.8700913858500001,201529.9236,2.58329011,0.382126,2.55378246,0.535156,1.87948883,158.989246,2.7562437,0.014887
15000,50,0.2,3000,1.58961388055,123491.4763,2.39229381,0.488291,2.37265134,0.671528,1.59760189,315.870264,2.5294414,0.014416
20000,10,0.1,2000,2.48446183715,975191.5111,3.15927112,0.097785,3.12290406,0.138301,2.49694657,62.100163,3.5395896,0.010092
20000,10,0.2,4000,2.1370135285500003,597568.03,2.7956826,0.109453,2.77068233,0.147888,2.14775229,127.013516,2.9956808,0.004819
20000,20,0.1,2000,2.22613335025,722631.4684,2.94555643,0.21189,2.92104793,0.301097,2.23731995,120.958057,3.4125493,0.007572
20000,20,0.2,4000,1.8321792106857953,442806.8314,2.6646821,0.231362,2.62868667,0.308753,1.91759801,245.215241,2.9573812,0.017777
20000,50,0.1,2000,1.90420324945,486225.205,2.59099008,0.672056,2.55573678,0.90989,1.91377211,307.499999,2.8703506,0.017753
20000,50,0.2,4000,1.6238553926500001,297944.1828,2.38396132,0.676228,2.35371518,0.95252,1.63201547,571.088029,2.6016586,0.019787
