N,k,outlier_pct,z,oc_correct_r,oc_correct_t
500,10,0.1,50,2.11262965,0.0221
500,10,0.2,100,1.7931217,0.048
500,20,0.1,50,1.8851769,0.054
500,20,0.2,100,1.55165017,0.1117
500,50,0.1,50,1.44995713,0.1371
500,50,0.2,100,1.27105093,0.226
1000,10,0.1,100,2.12438488,0.0823
1000,10,0.2,200,1.81754208,0.151
1000,20,0.1,100,1.83484006,0.1689
1000,20,0.2,200,1.57212818,0.3218
1000,50,0.1,100,1.5513835,0.4706
1000,50,0.2,200,1.31272519,0.7813
5000,10,0.1,500,2.21726465,1.985
5000,10,0.2,1000,1.87600541,5.5643
5000,20,0.1,500,1.91876972,3.8809
5000,20,0.2,1000,1.64492691,6.9442
5000,50,0.1,500,1.64068031,9.3922
5000,50,0.2,1000,1.36618388,17.2934
10000,10,0.1,1000,2.25789666,6.8464
10000,10,0.2,2000,1.90532374,17.1756
10000,20,0.1,1000,1.99600852,13.9859
10000,20,0.2,2000,1.66911829,30.3125
10000,50,0.1,1000,1.68458676,34.9315
10000,50,0.2,2000,1.41385853,73.809
15000,10,0.1,1500,2.31510925,15.1741
15000,10,0.2,3000,1.92242169,34.1655
15000,20,0.1,1500,2.02927542,30.5884
15000,20,0.2,3000,1.70588791,64.4551
15000,50,0.1,1500,1.7046808,77.1892
15000,50,0.2,3000,1.44478405,166.61
20000,10,0.1,2000,2.31131625,35.1473
20000,10,0.2,4000,1.98914206,60.6517
20000,20,0.1,2000,2.06039667,56.5685
20000,20,0.2,4000,1.74723339,117.1578
20000,50,0.1,2000,1.73585558,145.4475
20000,50,0.2,4000,1.47441304,295.3511
