N,k,outlier_pct,z,oc_radius,oc_time_s
500,10,0.1,50,3.43687558,0.005294
500,10,0.2,100,3.13828206,0.003501
500,20,0.1,50,2.94118071,0.012441
500,20,0.2,100,2.65472412,0.006437
500,50,0.1,50,2.32224154,0.016176
500,50,0.2,100,2.1333127,0.017118
1000,10,0.1,100,3.66236234,0.004652
1000,10,0.2,200,3.29543281,0.005633
1000,20,0.1,100,3.15029407,0.011098
1000,20,0.2,200,2.83791661,0.009253
1000,50,0.1,100,2.64038587,0.029272
1000,50,0.2,200,2.46563339,0.031199
5000,10,0.1,500,3.28329372,0.020835
5000,10,0.2,1000,3.01178455,0.020707
5000,20,0.1,500,3.04689741,0.035112
5000,20,0.2,1000,2.84646773,0.043153
5000,50,0.1,500,2.54010916,0.146736
5000,50,0.2,1000,2.37980819,0.163553
10000,10,0.1,1000,3.29017186,0.054992
10000,10,0.2,2000,3.01353979,0.04572
10000,20,0.1,1000,3.04270601,0.082539
10000,20,0.2,2000,2.83622742,0.082009
10000,50,0.1,1000,2.53552008,0.26826
10000,50,0.2,2000,2.38187814,0.321276
15000,10,0.1,1500,3.59305859,0.078408
15000,10,0.2,3000,3.28224206,0.078699
15000,20,0.1,1500,3.31327891,0.158328
15000,20,0.2,3000,3.09077859,0.162505
15000,50,0.1,1500,2.76985812,0.512778
15000,50,0.2,3000,2.59827375,0.522775
20000,10,0.1,2000,3.67896891,0.099463
20000,10,0.2,4000,3.37711954,0.108669
20000,20,0.1,2000,3.16502047,0.203511
20000,20,0.2,4000,2.95042944,0.220373
20000,50,0.1,2000,2.76266551,0.566777
20000,50,0.2,4000,2.58579063,0.585422
