voronoi_cv,sparsity_ratio,density_cv,z_over_k,eff_dim,z_over_N,separation,d,N,k,z,dataset,opt_O,opt_r,knee_O,opt_over_z,knee_over_z,r_at_O20,r_at_Oz,gap_O20_vs_opt,r_O1,r_O5,r_O10,r_O20,r_O30,r_O50,r_O75,r_O100,r_O150,r_O200,r_O300,r_O500,r_O750,r_O1000,r_O1500,r_O2000
2.6278,2.8302,0.6512,5.0,5,0.1,2.3398,6,500,10,50,adult,150,1.925523,150,3.0,3.0,2.266017,2.084858,17.68,2.843257,2.584441,2.446529,2.266017,2.266017,2.084858,2.082852,2.082852,1.925523,,,,,,,
2.6278,3.3907,0.6512,10.0,5,0.2,2.3398,6,500,10,100,adult,150,1.620875,150,1.5,1.5,1.951364,1.682241,20.39,2.476891,2.230916,2.07548,1.951364,1.921499,1.816395,1.682707,1.682241,1.620875,1.625851,1.627514,,,,,
3.1178,2.9135,0.6512,2.5,5,0.1,2.0417,6,500,20,50,adult,150,1.580159,150,3.0,3.0,1.927378,1.766259,21.97,2.253472,2.050884,2.016076,1.927378,1.870235,1.766259,1.686704,1.693341,1.580159,,,,,,,
3.1178,3.511,0.6512,5.0,5,0.2,2.0417,6,500,20,100,adult,300,1.29796,150,3.0,1.5,1.689539,1.350727,30.17,2.001647,1.873874,1.813714,1.689539,1.539369,1.530715,1.472332,1.350727,1.314688,1.315304,1.29796,,,,,
2.3296,3.2597,0.6512,1.0,5,0.1,1.9315,6,500,50,50,adult,100,1.223234,100,2.0,2.0,1.448498,1.300015,18.42,1.542174,1.515007,1.496006,1.448498,1.354734,1.300015,1.327907,1.223234,1.226632,,,,,,,
2.3296,3.6979,0.6512,2.0,5,0.2,1.9315,6,500,50,100,adult,300,0.968831,300,3.0,3.0,1.319884,1.044671,36.23,1.423418,1.365538,1.355187,1.319884,1.20404,1.121456,1.022623,1.044671,1.003377,1.030498,0.968831,,,,,
2.6544,3.2648,0.6797,10.0,5,0.1,2.4007,6,1000,10,100,adult,300,1.932037,300,3.0,3.0,2.334526,2.04417,20.83,2.813718,2.655723,2.446437,2.334526,2.230268,2.185072,2.050499,2.04417,1.987711,2.024059,1.932037,,,,,
2.6544,3.8501,0.6797,20.0,5,0.2,2.4007,6,1000,10,200,adult,150,1.603135,150,0.75,0.75,2.002285,1.645054,24.9,2.458162,2.266832,2.095839,2.002285,1.93252,1.854127,1.725085,1.770316,1.603135,1.645054,1.638532,1.611084,,,,
3.0877,3.3422,0.6797,5.0,5,0.1,2.0895,6,1000,20,100,adult,300,1.652089,150,3.0,1.5,1.981099,1.715379,19.91,2.307477,2.143127,2.096634,1.981099,1.935252,1.79262,1.734035,1.715379,1.670027,1.660592,1.652089,,,,,
3.0877,3.8974,0.6797,10.0,5,0.2,2.0895,6,1000,20,200,adult,300,1.356941,300,1.5,1.5,1.799639,1.384758,32.62,2.01819,1.927045,1.902543,1.799639,1.731862,1.544617,1.469787,1.426762,1.389492,1.384758,1.356941,1.367169,,,,
3.269,3.479,0.6797,2.0,5,0.1,1.7391,6,1000,50,100,adult,200,1.280257,200,2.0,2.0,1.534634,1.367116,19.87,1.757322,1.737717,1.653708,1.534634,1.457451,1.382868,1.356525,1.367116,1.323571,1.280257,1.280257,,,,,
3.269,4.0464,0.6797,4.0,5,0.2,1.7391,6,1000,50,200,adult,500,1.022886,500,2.5,2.5,1.423712,1.058891,39.19,1.646574,1.619013,1.513322,1.423712,1.327603,1.244815,1.137832,1.106547,1.065878,1.058891,1.051451,1.022886,,,,
2.746,3.2316,0.6763,20.0,5,0.1,2.5294,6,2000,10,200,adult,150,1.973939,150,0.75,0.75,2.411509,2.008885,22.17,2.926226,2.770803,2.677796,2.411509,2.375731,2.211688,2.168605,2.036171,1.973939,2.008885,1.980765,1.974806,,,,
2.746,3.8853,0.6763,40.0,5,0.2,2.5294,6,2000,10,400,adult,500,1.589049,300,1.25,0.75,2.078845,1.618837,30.82,2.495091,2.402106,2.348567,2.078845,2.035494,1.864313,1.858735,1.77176,1.625418,1.621317,1.618837,1.589049,1.607515,1.607873,,
3.5818,3.2596,0.6763,10.0,5,0.1,2.2915,6,2000,20,200,adult,500,1.661032,200,2.5,1.0,2.095567,1.667497,26.16,2.544437,2.437292,2.26818,2.095567,1.940335,1.882004,1.840786,1.78105,1.737127,1.667497,1.666319,1.661032,,,,
3.5818,3.9133,0.6763,20.0,5,0.2,2.2915,6,2000,20,400,adult,1000,1.306476,500,2.5,1.25,1.916665,1.354469,46.71,2.264927,2.162693,2.006504,1.916665,1.724408,1.608876,1.574571,1.483334,1.388698,1.369568,1.354469,1.329182,1.324596,1.306476,,
3.441,3.3545,0.6763,4.0,5,0.1,1.8978,6,2000,50,200,adult,500,1.281331,300,2.5,1.5,1.628898,1.354881,27.13,1.789616,1.760103,1.680011,1.628898,1.59463,1.517166,1.419173,1.35863,1.359117,1.354881,1.306717,1.281331,,,,
3.441,4.0014,0.6763,8.0,5,0.2,1.8978,6,2000,50,400,adult,1000,1.010343,750,2.5,1.875,1.511847,1.070164,49.64,1.628685,1.610167,1.549282,1.511847,1.486352,1.385568,1.302401,1.168675,1.092456,1.065506,1.070164,1.055343,1.026497,1.010343,,
2.7886,4.3861,0.6819,50.0,5,0.1,2.8153,6,5000,10,500,adult,300,1.982497,300,0.6,0.6,2.494583,2.024511,25.83,3.10868,2.939058,2.797311,2.494583,2.443664,2.348493,2.304773,2.21214,2.118703,2.032809,1.982497,2.024511,2.034787,2.008093,1.98821,
