dataset,N,k,z,knee_O,O,D_kO1,rho_O,radius_at_O,radius_at_Oz
adult,500,10,50,150,1,3.8283606347941967,2.2487180839636705,2.843257,
adult,500,10,50,150,5,3.427372626726572,2.013184112320816,2.584441,
adult,500,10,50,150,10,3.024212882577104,1.7763744974805955,2.446529,
adult,500,10,50,150,20,2.4474561265862693,1.4375967617946435,2.266017,
adult,500,10,50,150,30,2.1386062335936873,1.2561832519777973,2.266017,
adult,500,10,50,150,50,1.7024635778470691,1.0,2.084858,
adult,500,10,50,150,75,1.4425345241212706,0.8473218122795295,2.082852,
adult,500,10,50,150,100,1.208661888710873,0.7099487498225034,2.082852,
adult,500,10,50,150,150,0.9288365597485021,0.5455838068049046,1.925523,
adult,500,10,50,150,200,0.7152982711060405,0.4201548158878117,,
adult,500,10,50,150,300,0.481432740883777,0.2827859269051709,,
adult,500,10,50,150,500,,,,
adult,500,10,50,150,750,,,,
adult,500,10,50,150,1000,,,,
adult,500,10,50,150,1500,,,,
adult,500,10,50,150,2000,,,,
adult,500,10,100,150,1,3.8283606347941967,3.1674372051868245,2.476891,
adult,500,10,100,150,5,3.427372626726572,2.835675269269984,2.230916,
adult,500,10,100,150,10,3.024212882577104,2.5021165230936915,2.07548,
adult,500,10,100,150,20,2.4474561265862693,2.0249303377941876,1.951364,
adult,500,10,100,150,30,2.1386062335936873,1.7693999070945046,1.921499,
adult,500,10,100,150,50,1.7024635778470691,1.408552378252674,1.816395,
adult,500,10,100,150,75,1.4425345241212706,1.1934971538316972,1.682707,
adult,500,10,100,150,100,1.208661888710873,1.0,1.682241,
adult,500,10,100,150,150,0.9288365597485021,0.7684833686111959,1.620875,
adult,500,10,100,150,200,0.7152982711060405,0.5918100651530915,1.625851,
adult,500,10,100,150,300,0.481432740883777,0.3983187898786653,1.627514,
adult,500,10,100,150,500,,,,
adult,500,10,100,150,750,,,,
adult,500,10,100,150,1000,,,,
adult,500,10,100,150,1500,,,,
adult,500,10,100,150,2000,,,,
adult,500,20,50,150,1,2.782180308901176,1.7358315899836956,2.253472,
adult,500,20,50,150,5,2.545695324307749,1.5882861180023327,2.050884,
adult,500,20,50,150,10,2.4474561265862693,1.5269936481239341,2.016076,
adult,500,20,50,150,20,2.1386062335936873,1.3342989478184226,1.927378,
adult,500,20,50,150,30,1.9670650576759312,1.2272726019024762,1.870235,
adult,500,20,50,150,50,1.6027939144299757,1.0,1.766259,
adult,500,20,50,150,75,1.330971938500461,0.8304074070394842,1.686704,
adult,500,20,50,150,100,1.1328485775836097,0.7067961560026891,1.693341,
adult,500,20,50,150,150,0.8742933455635552,0.5454808242608611,1.580159,
adult,500,20,50,150,200,0.6858968699814401,0.4279382794046703,,
adult,500,20,50,150,300,0.4637401185877346,0.2893323429872524,,
adult,500,20,50,150,500,,,,
adult,500,20,50,150,750,,,,
adult,500,20,50,150,1000,,,,
adult,500,20,50,150,1500,,,,
adult,500,20,50,150,2000,,,,
adult,500,20,100,150,1,2.782180308901176,2.4559154364969293,2.001647,
adult,500,20,100,150,5,2.545695324307749,2.247162925991196,1.873874,
adult,500,20,100,150,10,2.4474561265862693,2.1604441891137345,1.813714,
adult,500,20,100,150,20,2.1386062335936873,1.8878129662795538,1.689539,
adult,500,20,100,150,30,1.9670650576759312,1.7363883369759119,1.539369,
adult,500,20,100,150,50,1.6027939144299757,1.4148350857700414,1.530715,
adult,500,20,100,150,75,1.330971938500461,1.1748895349627861,1.472332,
adult,500,20,100,150,100,1.1328485775836097,1.0,1.350727,
adult,500,20,100,150,150,0.8742933455635552,0.7717654087790282,1.314688,
adult,500,20,100,150,200,0.6858968699814401,0.6054620922457905,1.315304,
adult,500,20,100,150,300,0.4637401185877346,0.4093575503064163,1.29796,
adult,500,20,100,150,500,,,,
adult,500,20,100,150,750,,,,
adult,500,20,100,150,1000,,,,
adult,500,20,100,150,1500,,,,
adult,500,20,100,150,2000,,,,
adult,500,50,50,100,1,1.9635340967869632,1.546004049723573,1.542174,
adult,500,50,50,100,5,1.8023717517304152,1.4191116068940437,1.515007,
adult,500,50,50,100,10,1.7024635778470691,1.340448118606833,1.496006,
adult,500,50,50,100,20,1.6027939144299757,1.261972423415414,1.448498,
adult,500,50,50,100,30,1.5150066033790917,1.1928523920285923,1.354734,
adult,500,50,50,100,50,1.2700704743548668,1.0,1.300015,
adult,500,50,50,100,75,1.1026493729811087,0.8681796760460873,1.327907,
adult,500,50,50,100,100,0.9811129154905729,0.7724869881641252,1.223234,
adult,500,50,50,100,150,0.7632393105959544,0.6009424878439461,1.226632,
adult,500,50,50,100,200,0.6075786518923613,0.478381841134431,,
adult,500,50,50,100,300,0.4235438787012615,0.3334806117088903,,
adult,500,50,50,100,500,,,,
adult,500,50,50,100,750,,,,
adult,500,50,50,100,1000,,,,
adult,500,50,50,100,1500,,,,
adult,500,50,50,100,2000,,,,
adult,500,50,100,300,1,1.9635340967869632,2.001333450803839,1.423418,
adult,500,50,100,300,5,1.8023717517304152,1.8370686220445884,1.365538,
adult,500,50,100,300,10,1.7024635778470691,1.735237148514969,1.355187,
adult,500,50,100,300,20,1.6027939144299757,1.63364877693874,1.319884,
adult,500,50,100,300,30,1.5150066033790917,1.5441715010158266,1.20404,
adult,500,50,100,300,50,1.2700704743548668,1.2945201865167684,1.121456,
adult,500,50,100,300,75,1.1026493729811087,1.1238761161652486,1.022623,
adult,500,50,100,300,100,0.9811129154905729,1.0000000000000002,1.044671,
adult,500,50,100,300,150,0.7632393105959544,0.777932181449596,1.003377,
adult,500,50,100,300,200,0.6075786518923613,0.6192749502115786,1.030498,
adult,500,50,100,300,300,0.4235438787012615,0.43169738366911875,0.968831,
adult,500,50,100,300,500,,,,
adult,500,50,100,300,750,,,,
adult,500,50,100,300,1000,,,,
adult,500,50,100,300,1500,,,,
adult,500,50,100,300,2000,,,,
adult,1000,10,100,300,1,3.988956726395031,2.741970744538444,2.813718,
adult,1000,10,100,300,5,3.6826138884101396,2.531393604406724,2.655723,
adult,1000,10,100,300,10,3.2291460817552524,2.219684166394991,2.446437,
adult,1000,10,100,300,20,2.7308612276593665,1.877167918139702,2.334526,
adult,1000,10,100,300,30,2.434361095301833,1.6733565598222437,2.230268,
adult,1000,10,100,300,50,1.9844229125860293,1.3640733515853665,2.185072,
adult,1000,10,100,300,75,1.6414525586735629,1.1283188069323171,2.050499,
adult,1000,10,100,300,100,1.454777274462311,1.0,2.04417,
adult,1000,10,100,300,150,1.173912155972224,0.806936000843225,1.987711,
adult,1000,10,100,300,200,1.0132396232794374,0.6964912368829331,2.024059,
adult,1000,10,100,300,300,0.7570571103962368,0.5203938250108057,1.932037,
adult,1000,10,100,300,500,0.5034642218063758,0.34607649613749797,,
adult,1000,10,100,300,750,0.2617538706566233,0.17992710997865163,,
adult,1000,10,100,300,1000,,,,
adult,1000,10,100,300,1500,,,,
adult,1000,10,100,300,2000,,,,
adult,1000,10,200,150,1,3.988956726395031,3.9368345204310398,2.458162,
adult,1000,10,200,150,5,3.6826138884101396,3.634494549760147,2.266832,
adult,1000,10,200,150,10,3.2291460817552524,3.186952037370827,2.095839,
adult,1000,10,200,150,20,2.7308612276593665,2.695178085141103,2.002285,
adult,1000,10,200,150,30,2.434361095301833,2.402552209143592,1.93252,
adult,1000,10,200,150,50,1.9844229125860293,1.9584932004171665,1.854127,
adult,1000,10,200,150,75,1.6414525586735629,1.6200043118732963,1.725085,
adult,1000,10,200,150,100,1.454777274462311,1.435768243797848,1.770316,
adult,1000,10,200,150,150,1.173912155972224,1.158573084787936,1.603135,
adult,1000,10,200,150,200,1.0132396232794374,1.0,1.645054,
adult,1000,10,200,150,300,0.7570571103962368,0.7471649282190093,1.638532,
adult,1000,10,200,150,500,0.5034642218063758,0.49688564307904826,1.611084,
adult,1000,10,200,150,750,0.2617538706566233,0.25833363070567095,,
adult,1000,10,200,150,1000,,,,
adult,1000,10,200,150,1500,,,,
adult,1000,10,200,150,2000,,,,
adult,1000,20,100,150,1,3.1209687317429435,2.219635888577095,2.307477,
adult,1000,20,100,150,5,2.9262496334601886,2.081151483288483,2.143127,
adult,1000,20,100,150,10,2.7308612276593665,1.9421910658654065,2.096634,
adult,1000,20,100,150,20,2.434361095301833,1.7313198937017868,1.981099,
adult,1000,20,100,150,30,2.133421916294167,1.5172916673980574,1.935252,
adult,1000,20,100,150,50,1.8214085474219162,1.2953874668782641,1.79262,
adult,1000,20,100,150,75,1.5447706866887445,1.098642360918928,1.734035,
adult,1000,20,100,150,100,1.4060723868290181,1.0000000000000002,1.715379,
adult,1000,20,100,150,150,1.118719048162337,0.7956340360863485,1.670027,
adult,1000,20,100,150,200,0.9770177979277286,0.69485597404491,1.660592,
adult,1000,20,100,150,300,0.7440744805179423,0.5291864682699468,1.652089,
adult,1000,20,100,150,500,0.49126203437522104,0.3493860195086526,,
adult,1000,20,100,150,750,0.25527750476995054,0.181553600768488,,
adult,1000,20,100,150,1000,,,,
adult,1000,20,100,150,1500,,,,
adult,1000,20,100,150,2000,,,,
adult,1000,20,200,300,1,3.1209687317429435,3.1943826799906527,2.01819,
adult,1000,20,200,300,5,2.9262496334601886,2.9950832417452515,1.927045,
adult,1000,20,200,300,10,2.7308612276593665,2.795098751989544,1.902543,
adult,1000,20,200,300,20,2.434361095301833,2.4916241039468825,1.799639,
adult,1000,20,200,300,30,2.133421916294167,2.1836059904120386,1.731862,
adult,1000,20,200,300,50,1.8214085474219162,1.8642531909706812,1.544617,
adult,1000,20,200,300,75,1.5447706866887445,1.5811080309542258,1.469787,
adult,1000,20,200,300,100,1.4060723868290181,1.4391471576171095,1.426762,
