N,k,outlier_pct,z,oc_correct_r,oc_correct_t,ding_radius,ding_time_s,gonz_radius,char_radius,char_3r,LP_est,Gonz_LP,Char_LP,OC_LP,Ding_LP,LP_Radius,Char3_LP,D_kz1,LB,cert_ratio
500,10,0.1,50,2.11262965,0.0221,2.18419337,0.0528,3.0404007,0.72866622,2.18599866,1.88151751,1.700142278121796,1.1618,1.1813479012745434,1.1609,1.78832133,1.2223746500859551,1.834575712679452,0.917287856339726,2.30312615107549
500,10,0.2,100,1.7931217,0.048,1.85864878,0.1077,2.7778323,0.62720956,1.88162868,1.61105747,1.8159312005286994,1.1679,1.1722038228783869,1.1537,1.52970129,1.230062818342789,1.4042213714565783,0.7021106857282893,2.5539017372168615
500,20,0.1,50,1.8851769,0.054,1.89095783,0.1013,2.3312027,0.62929269,1.88787807,1.61599053,1.5323403702109537,1.1682,1.239159798870831,1.1702,1.52133478,1.240935325228021,1.7157631349353268,0.8578815674676634,2.1974791993313914
500,20,0.2,100,1.55165017,0.1117,1.62766552,0.2096,2.1543903,0.57970783,1.73912349,1.38746815,1.6258839076079914,1.2535,1.1710055701792772,1.1731,1.32505789,1.3124886868150343,1.3435781820681938,0.6717890910340969,2.309728143414054
500,50,0.1,50,1.44995713,0.1371,1.48840296,0.2565,1.677034,0.49523446,1.48570338,1.20159732,1.448757472039785,1.2364,1.252590124126799,1.2387,1.15756711,1.2834706231416682,1.430230171849561,0.7151150859247805,2.027585711081634
500,50,0.2,100,1.27105093,0.226,1.30723071,0.5223,1.5526451,0.44266754,1.32800262,1.1038729,1.497845147144878,1.203,1.2261897244093218,1.1842,1.03658586,1.281131328571277,1.1618102075804573,0.5809051037902286,2.188052612564049
1000,10,0.1,100,2.12438488,0.0823,2.24046493,0.1716,3.0714765,0.73499019,2.20497057,1.89198677,1.609288461769804,1.1654,1.1130633998802302,1.1842,1.90859288,1.1552859664864725,1.6408726213702436,0.8204363106851218,2.589335518592528
1000,10,0.2,200,1.81754208,0.151,1.86677825,0.356,2.81131,0.60828254,1.82484762,1.63299833,1.8006066305615782,1.1175,1.1641115069390007,1.1432,1.5613127,1.1687906080569255,1.265737758728402,0.632868879364201,2.8719093942902627
1000,20,0.1,100,1.83484006,0.1689,1.91652894,0.3384,2.5400338,0.63320022,1.89960066,1.57284134,1.6517386486633536,1.2078,1.1931637449933883,1.2185,1.53779401,1.2352764074038758,1.5876292370305234,0.7938146185152617,2.311421353554632
1000,20,0.2,200,1.57212818,0.3218,1.66010809,0.6867,2.3842337,0.54687345,1.6406203499999998,1.40577936,1.7698018952200782,1.1671,1.1669810021110316,1.1809,1.34717547,1.2178223153068544,1.2329370822176222,0.6164685411088111,2.5502163941282254
1000,50,0.1,100,1.5513835,0.4706,1.56728876,0.8116,1.8805647,0.52637376,1.57912128,1.2856506,1.545701855967752,1.2283,1.275136322226907,1.2191,1.21664129,1.297934973093014,1.4793102867472832,0.7396551433736416,2.0974416441207775
1000,50,0.2,200,1.31272519,0.7813,1.3820132,1.6691,1.7686555,0.46260114,1.38780342,1.14006585,1.6178379893760608,1.2173,1.2007859540724057,1.2122,1.09322164,1.2694620827300855,1.1567770637387538,0.5783885318693769,2.269625204630554
5000,10,0.1,500,2.21726465,1.985,2.30146241,3.313,3.6367986,0.76474937,2.29424811,1.97470591,1.8745702250496956,1.1618,1.1428783254440416,1.1655,1.94007061,1.1825590770636951,1.3170509978842917,0.6585254989421457,3.367014114961092
