N,k,outlier_pct,z,oc_correct_r,oc_correct_t,ding_radius,ding_time_s,gonz_radius,char_radius,char_3r,LP_est,Gonz_LP,Char_LP,OC_LP,Ding_LP,LP_Radius,Char3_LP,D_kz1,LB,cert_ratio
500,10,0.1,50,3.31111741,0.0286,3.3053267,0.0785,3.8835657,1.17997059,3.53991177,2.94889612,1.4282222661957602,1.2004,1.2176983669802306,1.1209,2.71916059,1.3018399071457563,2.6891348727629025,1.3445674363814513,2.462589320853255
500,10,0.2,100,2.81058168,0.0453,2.89988708,0.1598,3.6254969,1.01274028,3.03822084,2.52520986,1.5142465874593551,1.2032,1.1738842523119468,1.1484,2.39425793,1.2689613771060997,2.1087521666033164,1.0543760833016582,2.6656348949029502
500,20,0.1,50,2.87453914,0.0498,2.7910111,0.1529,3.3632016,0.97386105,2.92158315,2.46408071,1.4981737674940727,1.1857,1.280493899974052,1.1327,2.2448675,1.3014501524032043,2.576506395474551,1.2882531977372755,2.2313464038349933
500,20,0.2,100,2.47786236,0.0874,2.5400877,0.3117,3.153524,0.89155742,2.6746722600000004,2.21567669,1.5313701147910865,1.2072,1.2032647814539266,1.1464,2.05928271,1.298836845961767,2.002895803408543,1.0014479017042714,2.4742798459941406
500,50,0.1,50,2.27788353,0.1407,2.26575875,0.3843,2.4976707,0.80652958,2.41958874,1.88771011,1.4184323645982184,1.2818,1.2936147754534801,1.2003,1.76086697,1.3740894577629565,2.1619946304843696,1.0809973152421848,2.107205538701701
500,50,0.2,100,1.97360134,0.2438,2.03371787,0.7782,2.3664088,0.70473583,2.11420749,1.71401868,1.45848934064527,1.2335,1.2163902184074118,1.1865,1.62250675,1.3030500427810239,1.7974070219323013,0.8987035109661506,2.196053888649307
1000,10,0.1,100,3.41841221,0.0807,3.5335629,0.2472,4.232118,1.20430931,3.61292793,3.04445336,1.448527903712107,1.1867,1.1700206545694547,1.1607,2.92166826,1.2365975903095856,2.4490638473696293,1.224531923684815,2.791607261420711
1000,10,0.2,200,2.8966229,0.1687,3.017694,0.5086,3.9575658,1.08131808,3.24395424,2.60251491,1.5795374881413928,1.2465,1.1560956130050541,1.1595,2.50552192,1.294721955575627,1.882672853267972,0.941336426633986,3.0771388613502317
1000,20,0.1,100,2.92729759,0.2099,3.01051307,0.469,3.5168953,1.01395638,3.04186914,2.50930573,1.4534254544593141,1.2122,1.209762721706104,1.1997,2.41972871,1.2571116453794526,2.369826571689854,1.184913285844927,2.4704741055482633
1000,20,0.2,200,2.49432325,0.3826,2.66228032,0.9724,3.295433,0.88482646,2.6544793799999997,2.23039583,1.5170639489314084,1.1901,1.1482703121430247,1.1936,2.17224396,1.2219987390366596,1.8685715851750664,0.9342857925875332,2.669764722732104
1000,50,0.1,100,2.40600133,0.5499,2.42882609,1.1319,2.7828894,0.83086106,2.49258318,1.99388291,1.4710899046309964,1.2501,1.2718594806864227,1.2181,1.89171946,1.317628344321203,2.1693656356173427,1.0846828178086714,2.2181611900709557
1000,50,0.2,200,2.06943297,0.8868,2.1460166,2.4271,2.623555,0.71834268,2.15502804,1.79724582,1.5327460576491712,1.1991,1.2090141911782735,1.1941,1.71166971,1.2590209591311865,1.7473973979640136,0.8736986989820068,2.368588819476562
5000,10,0.1,500,2.79328966,1.9103,3.03159928,4.6837,4.3917904,0.96596307,2.89788921,2.48771639,1.7214414626133652,1.1649,1.0948802651905223,1.2186,2.55122843,1.1358799454896322,1.5707956649242147,0.7853978324621074,3.556528353590493
5000,10,0.2,1000,2.45452189,3.482,2.63067961,9.4771,4.1357355,0.8298883,2.4896649,2.20530253,1.8833251791734666,1.1289,1.1177365859759276,1.1929,2.19597526,1.1337399584365082,1.177102554720513,0.5885512773602565,4.170446967694829
5000,20,0.1,500,2.43157315,3.2927,2.65219831,8.5946,3.7412357,0.83246625,2.49739875,2.08436629,1.7521032637060951,1.1982,1.1387593815741444,1.2724,2.13528265,1.169586963112354,1.5590286437231395,0.7795143218615698,3.1193437783068876
5000,20,0.2,1000,2.1119113,6.4085,2.30117011,18.2528,3.5431583,0.71669817,2.15009451,1.88844736,1.8984909337792975,1.1386,1.131601841214955,1.2186,1.86630246,1.1520611241116834,1.1706706815959214,0.5853353407979607,3.608036543839859
5000,50,0.1,500,2.05263972,8.2926,2.20283723,22.0588,2.7781167,0.70298373,2.10895119,1.7010478,1.641436625904874,1.2398,1.2127921106392419,1.295,1.69249099,1.2460634664885277,1.5234522016250729,0.7617261008125364,2.694721524981802
5000,50,0.2,1000,1.74959779,16.4105,1.91359282,45.2169,2.609081,0.61658087,1.84974261,1.51947773,1.7139397837875265,1.2174,1.1493339064244208,1.2594,1.5222711,1.2151203619381594,1.1520793834573655,0.5760396917286827,3.037286866030871
10000,10,0.1,1000,2.73508,6.7105,2.88239002,17.585,4.248118,0.9539869,2.8619607,2.4358746,1.7640473556985707,1.1749,1.135752500665953,1.1833,2.40816551,1.188440199859851,1.318537527790387,0.6592687638951935,4.148657042144964
10000,10,0.2,2000,2.31290913,15.305,2.48691249,32.4683,4.005123,0.79883937,2.39651811,2.07806839,1.9596708120317219,1.1532,1.1316857217475425,1.1967,2.04377336,1.1725948468180445,1.0104008255960677,0.5052004127980337,4.578201187900933
10000,20,0.1,1000,2.37443709,13.3423,2.53183651,31.246,3.5993874,0.80928321,2.42784963,2.03538875,1.777061068008455,1.1928,1.1722882930229428,1.2439,2.02547198,1.198658709660353,1.3152314292744476,0.6576157146372238,3.6106757140222343
10000,20,0.2,2000,2.01633739,28.4124,2.21199226,69.141,3.4258244,0.70316461,2.10949383,1.80298624,1.9064913978132538,1.17,1.1221035990998918,1.2268,1.79692623,1.1739457050498951,1.0082503039558954,0.5041251519779477,3.999676235333328
10000,50,0.1,1000,1.97925234,34.5445,2.1321764,79.9137,2.7607315,0.67505478,2.02516434,1.64023077,1.6671134876776856,1.2347,1.1952043404190595,1.2999,1.65599494,1.2229290628146483,1.2964361063234349,0.6482180531617174,3.0533742933355423
10000,50,0.2,2000,1.68359327,69.7064,1.85834157,166.9711,2.6177533,0.5852162,1.7556485999999998,1.46215461,1.7545505890302584,1.2007,1.1284293151558167,1.271,1.49197938,1.1767244397171224,1.002085803746397,0.5010429018731987,3.3601778684135017
15000,10,0.1,1500,2.92471409,19.7843,3.11762762,40.8828,4.57328,1.04029992,3.1208997600000004,2.60476358,1.7931936372147121,1.1982,1.1467871411460084,1.1969,2.5503548,1.223711994895769,1.3114609955299346,0.6557304977649673,4.460238009317514
15000,10,0.2,3000,2.5125339,40.7668,2.71866512,83.8305,4.314179,0.91140864,2.73422592,2.2574243,1.905657615443904,1.2112,1.1098355818328292,1.2043,2.26387939,1.2077613021601827,1.013832106864357,0.5069160534321785,4.956508840050295
15000,20,0.1,1500,2.56364703,32.5382,2.78032231,79.6843,4.020338,0.8798326,2.6394978,2.19758121,1.8006788508091363,1.2011,1.1482380306980795,1.2652,2.23267908,1.182211014401586,1.3091083736685745,0.6545541868342872,3.916630710742112
15000,20,0.2,3000,2.20541883,68.2656,2.38542056,163.3397,3.8476253,0.77405009,2.32215027,1.97206074,1.9480127638651779,1.1775,1.1165806687331554,1.2096,1.97515405,1.1756805855219241,1.012023838532299,0.5060119192661495,4.358432570518176
15000,50,0.1,1500,2.15703321,82.2112,2.32453489,187.7632,3.001747,0.73298074,2.19894222,1.78755997,1.6501793061035674,1.2301,1.1858066538319685,1.3004,1.81904293,1.208845697775808,1.3006219340362015,0.6503109670181009,3.3169257776640886
