N,k,outlier_percent,LP_Radius,charikar_radius,gonzalez_radius
500,10,0.1,1.781567314,2.293026,2.347544
500,10,0.2,1.454164603,1.710126,1.794867
500,20,0.1,1.396085515,1.73739,1.804958
500,20,0.2,1.190512775,1.421619,1.439944
500,50,0.1,1.044301669,1.353,1.353229
500,50,0.2,0.8614662725,1.125,1.071111
1000,10,0.1,1.803763113,2.152947,2.429189
1000,10,0.2,1.47758163,1.720983,1.976952
1000,20,0.1,1.460662755,1.779135,1.866454
1000,20,0.2,1.195066574,1.400784,1.456671
1000,50,0.1,1.107916988,1.368,1.39347
1000,50,0.2,0.890149018,1.0863,1.155639
2000,10,0.1,1.801004735,2.0145,2.459514
2000,10,0.2,1.477757284,1.632,1.910563
2000,20,0.1,1.458563794,1.731,1.950309
2000,20,0.2,1.207354204,1.396,1.586505
2000,50,0.1,1.107394906,1.372,1.48046
2000,50,0.2,0.908636899,1.0544,1.195763
5000,10,0.1,1.821315348,2.047209,2.291372
5000,10,0.2,1.499017291,1.657443,1.793847
5000,20,0.1,1.498401844,1.696536,1.842888
5000,20,0.2,1.232265063,1.369305,1.475967
5000,50,0.1,1.157118612,1.386,1.476463
5000,50,0.2,0.938812787,1.0799,1.147963
10000,10,0.1,1.842761,2.086899,2.375994
10000,10,0.2,1.500199163,1.677009,1.809641
10000,20,0.1,1.518918293,1.745952,2.021746
10000,20,0.2,1.232119913,1.382541,1.482378
10000,50,0.1,1.181366098,1.367,1.522736
10000,50,0.2,0.942809407,1.0741,1.179058
20000,10,0.1,1.792315,2.013654,2.333395
20000,10,0.2,1.468204,1.647786,1.926569
20000,20,0.1,1.472006,1.728363,1.938769
20000,20,0.2,1.221534,1.367316,1.553954
20000,50,0.1,1.110284,1.365,1.52091
20000,50,0.2,0.950262412,1.072,1.20183
